Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,response_3.rt,key_skip_3.keys,total_score,Dot_ratio,current_score,response_4.keys,response_4.corr,response_4.rt,key_skip_4.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,20.406546099999105,space,1.0735512000101153,,,,,,,,,,,,,,,,,,,,,,,,, Antoine7,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h30.34.796,Rewa's Exp,2023.1.2,60.026423635476036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,, Antoine7,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h30.34.796,Rewa's Exp,2023.1.2,60.026423635476036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.501749899995048,space,0.3622538000054192,,,,,,,,,,,,,,,,,,,,, Antoine7,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h30.34.796,Rewa's Exp,2023.1.2,60.026423635476036,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,19.10576600000786,19.910083399998257,0.8043173999903956,left,0,0.7841723000165075,None,-2,54:46,-2,,,,,,,,,,, Antoine7,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h30.34.796,Rewa's Exp,2023.1.2,60.026423635476036,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,2,,,,,,,,,,,,23.81877899999381,24.193278200007626,0.3744992000138154,right,0,0.34247240000695456,None,-4,54:46,-2,,,,,,,,,,, Antoine7,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h30.34.796,Rewa's Exp,2023.1.2,60.026423635476036,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,1,,,,,,,,,,,,28.08730290000676,28.877900299994508,0.790597399987746,right,1,0.7630906000122195,None,-3,54:46,1,,,,,,,,,,, Antoine7,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h30.34.796,Rewa's Exp,2023.1.2,60.026423635476036,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,,,,,,,,,,,,32.808826799999224,33.77649030000612,0.9676635000068927,None,0,,None,-5,54:46,-2,,,,,,,,,,, Antoine7,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h30.34.796,Rewa's Exp,2023.1.2,60.026423635476036,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,0,,,,,,,,,,,,37.69011850000243,39.17654470000707,1.4864262000046438,None,0,,None,-7,54:46,-2,,,,,,,,,,, Antoine7,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h30.34.796,Rewa's Exp,2023.1.2,60.026423635476036,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,0,1,1,5,2,,,,,,,,,,,,43.098118399997475,44.59348589999718,1.495367499999702,None,0,,None,-9,54:46,-2,,,,,,,,,,, Antoine7,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h30.34.796,Rewa's Exp,2023.1.2,60.026423635476036,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,0,1,2,6,3,,,,,,,,,,,,48.49712820000423,49.476762399994186,0.9796341999899596,None,0,,None,-11,54:46,-2,,,,,,,,,,, Antoine7,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h30.34.796,Rewa's Exp,2023.1.2,60.026423635476036,
