Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,key_skip.keys,total_score,response_2.keys,response_2.corr,key_skip_2.keys,response_3.keys,response_3.corr,key_skip_3.keys,key_skip_3.rt,response_3.rt,response_4.keys,response_4.corr,key_skip_4.keys,key_skip_4.rt,response_4.rt,text_2.started,text_5.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0.1058441999994102,None,0,None,0,,,,,,,,,,,,,,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,0,0,2,,,,,,,,,0.07661340000049677,,,,0,None,0,None,,,,,,,,,,,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,2,,,,,0.7016038000001572,,,,0,,,,None,0,space,0.5436191999997391,,,,,,,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,1,1,1,,,,,0.8684496000005311,,,,-2,,,,left,0,None,,0.5243766999974468,,,,,,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,2,2,3,,,,,1.0344508999987738,,,,-4,,,,right,0,None,,0.6600519999992684,,,,,,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,3,3,0,,,,,0.7014547999988281,,,,-4,,,,None,0,space,0.370141399998829,,,,,,,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,,,,,0,0,0,3,0.1448439000014332,,,,-4,,,,,,,,,None,0,space,0.0055978999989747535,,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,,,,,0,1,1,0,0.34521760000097856,,,,-4,,,,,,,,,None,0,space,0.021145199998500175,,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,,,,,0,2,2,1,2.134429599998839,,,,-6,,,,,,,,,None,0,None,,,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,,,,,0,3,3,2,1.4845442999994702,,,,-5,,,,,,,,,left,1,None,,1.155615099998613,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.555841400000645,53.555841400000645,53.555841400000645,space,5.2927053999974305,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,0,0,0,0,,,,,,,,,,,,,0.2685444999988249,None,0,None,-5,,,,,,,,,,,,,,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,,,,,0,0,0,1,,,,,,,,,0.2528744999999617,,,,-5,None,0,None,,,,,,,,,,,,,,,,176550,2 - with skip,"54:46, 51:49","2.5s, 2.0s",2023-07-13_15h48.20.842,Rewa's Exp,2023.1.2,59.99224900177319,
