Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,key_skip.keys,total_score,Left_3.started,response_2.keys,response_2.corr,key_skip_2.keys,response_2.rt,response_3.keys,response_3.corr,key_skip_3.keys,key_skip_3.rt,response_4.keys,response_4.corr,key_skip_4.keys,text_2.started,text_5.started,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,,,,,,,,,,,,,0.11708189999990282,None,0,None,0,,,,,,,,,,,,,,,1,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-13_15h23.10.689,Rewa's Exp,2023.1.2,59.97267644847997,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,0,0,0,3,,,,,,,,,1.0180501000013464,,,,-2,44.50251019999996,None,0,None,,,,,,,,,,,1,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-13_15h23.10.689,Rewa's Exp,2023.1.2,59.97267644847997,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,,,,,0,1,1,1,,,,,,,,,1.0848698999998305,,,,-4,49.352516099999775,left,0,None,0.6963363999984722,,,,,,,,,,1,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-13_15h23.10.689,Rewa's Exp,2023.1.2,59.97267644847997,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,2,2,2,,,,,,,,,0.8519391999998334,,,,-6,54.05578080000123,right,0,None,0.4820010999974329,,,,,,,,,,1,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-13_15h23.10.689,Rewa's Exp,2023.1.2,59.97267644847997,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,3,3,0,,,,,,,,,0.9514183000010235,,,,-8,58.51318440000068,left,0,None,0.6325980999990861,,,,,,,,,,1,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-13_15h23.10.689,Rewa's Exp,2023.1.2,59.97267644847997,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0.8352894999989076,,,,-8,,,,,,None,0,space,0.6735891999996966,,,,,,1,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-13_15h23.10.689,Rewa's Exp,2023.1.2,59.97267644847997,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,,,,,0,1,1,3,,,,,0.9846656000008807,,,,-8,,,,,,None,0,space,0.6181496999997762,,,,,,1,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-13_15h23.10.689,Rewa's Exp,2023.1.2,59.97267644847997,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,,,,,,,,,0,2,2,1,,,,,0.9681934000000183,,,,-8,,,,,,None,0,space,0.6646626000001561,,,,,,1,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-13_15h23.10.689,Rewa's Exp,2023.1.2,59.97267644847997,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,3,3,2,,,,,0.9522439000011218,,,,-8,,,,,,None,0,space,0.623975699998482,,,,,,1,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-13_15h23.10.689,Rewa's Exp,2023.1.2,59.97267644847997,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,,,,,,,,,0,0,0,3,0.07409650000045076,,,,-8,,,,,,,,,,None,0,None,,,1,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-13_15h23.10.689,Rewa's Exp,2023.1.2,59.97267644847997,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.81610790000013,78.81610790000013,1,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-13_15h23.10.689,Rewa's Exp,2023.1.2,59.97267644847997,
