Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,key_skip.keys,key_skip.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_3.keys,response_3.corr,response_4.keys,response_4.corr,text_2.started,text_5.started,text_2.stopped,text_5.stopped,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,,,,,,,,,,,,,0.7350444000003336,None,0,space,0.5504940999999235,0,,,,,,,,,,,,429571,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h36.28.249,Rewa's Exp,2023.1.2,60.02862164701293,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,1,1,0,,,,,,,,,,,,,1.4851612000002206,None,0,space,0.6065907999982301,0,,,,,,,,,,,,429571,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h36.28.249,Rewa's Exp,2023.1.2,60.02862164701293,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,2,2,1,,,,,,,,,,,,,2.767762600000424,None,0,None,,-2,,,,,,,,,,,,429571,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h36.28.249,Rewa's Exp,2023.1.2,60.02862164701293,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,3,3,3,,,,,,,,,,,,,1.2018149999985326,None,0,space,0.43396260000008624,-2,,,,,,,,,,,,429571,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h36.28.249,Rewa's Exp,2023.1.2,60.02862164701293,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,1,,,,,,,,,1.984390199999325,,,,,-4,37.88357939999878,None,0,,,,,,,,,429571,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h36.28.249,Rewa's Exp,2023.1.2,60.02862164701293,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,2,,,,,,,,,2.867779400001382,,,,,-6,43.658656300000075,None,0,,,,,,,,,429571,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h36.28.249,Rewa's Exp,2023.1.2,60.02862164701293,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,3,,,,,,,,,2.1511296999997285,,,,,-8,50.161284399999204,None,0,,,,,,,,,429571,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h36.28.249,Rewa's Exp,2023.1.2,60.02862164701293,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,3,3,0,,,,,,,,,2.867826799998511,,,,,-10,55.933959299998605,None,0,,,,,,,,,429571,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h36.28.249,Rewa's Exp,2023.1.2,60.02862164701293,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,0,0,1,,,,,0.07468599999992875,,,,,-10,,,,None,0,,,,,,,429571,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h36.28.249,Rewa's Exp,2023.1.2,60.02862164701293,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,,,,,0,0,0,2,0.07548900000074354,,,,,-10,,,,,,None,0,,,,,429571,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h36.28.249,Rewa's Exp,2023.1.2,60.02862164701293,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.098644499999864,60.098644499999864,61.10298650000004,61.10298650000004,429571,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h36.28.249,Rewa's Exp,2023.1.2,60.02862164701293,
