Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,key_skip.keys,key_skip.rt,total_score,Left_3.started,response_2.keys,response_2.corr,key_skip_2.keys,key_skip_2.rt,response_3.keys,response_3.corr,key_skip_3.keys,response_4.keys,response_4.corr,key_skip_4.keys,text_2.started,text_5.started,text_2.stopped,text_5.stopped,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0.7348036999992473,None,0,space,0.5372480000005453,0,,,,,,,,,,,,,,,,462320,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h48.28.851,Rewa's Exp,2023.1.2,60.01950633983189,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,0,,,,,,,,,,,,,1.467873999999938,None,0,space,0.5743517000009888,0,,,,,,,,,,,,,,,,462320,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h48.28.851,Rewa's Exp,2023.1.2,60.01950633983189,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,,,,,1.501565300000948,None,0,space,0.6069679000011092,0,,,,,,,,,,,,,,,,462320,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h48.28.851,Rewa's Exp,2023.1.2,60.01950633983189,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,3,3,2,,,,,,,,,,,,,1.2513804000009259,None,0,space,0.5032365000006394,0,,,,,,,,,,,,,,,,462320,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h48.28.851,Rewa's Exp,2023.1.2,60.01950633983189,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,0,0,0,3,,,,,,,,,0.8509535000011965,,,,,0,38.529700400000365,None,0,space,0.6935874999999214,,,,,,,,,,,462320,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h48.28.851,Rewa's Exp,2023.1.2,60.01950633983189,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,1,1,0,,,,,,,,,0.8849036999999953,,,,,0,43.185813100000814,None,0,space,0.5669853999988845,,,,,,,,,,,462320,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h48.28.851,Rewa's Exp,2023.1.2,60.01950633983189,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,2,2,2,,,,,,,,,0.7014378000003489,,,,,0,47.6833469000012,None,0,space,0.3811454999995476,,,,,,,,,,,462320,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h48.28.851,Rewa's Exp,2023.1.2,60.01950633983189,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,,,,,0,3,3,1,,,,,,,,,0.8348562999999558,,,,,0,52.03776579999976,None,0,space,0.49889429999893764,,,,,,,,,,,462320,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h48.28.851,Rewa's Exp,2023.1.2,60.01950633983189,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0.08031510000000708,,,,,0,,,,,,None,0,None,,,,,,,,462320,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h48.28.851,Rewa's Exp,2023.1.2,60.01950633983189,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,,,,,,,,,0,0,0,3,0.07403079999858164,,,,,0,,,,,,,,,None,0,None,,,,,462320,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h48.28.851,Rewa's Exp,2023.1.2,60.01950633983189,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.155058700000154,54.155058700000154,55.16522350000014,55.16522350000014,462320,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h48.28.851,Rewa's Exp,2023.1.2,60.01950633983189,
