Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,key_skip.keys,key_skip.rt,total_score,Left_3.started,response_2.keys,response_2.corr,key_skip_2.keys,key_skip_2.rt,response_3.keys,response_3.corr,key_skip_3.keys,response_4.keys,response_4.corr,key_skip_4.keys,text_2.started,text_5.started,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,3.0843029000006936,None,0,space,0.6397749999996449,0,,,,,,,,,,,,,,516300,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h47.00.642,Rewa's Exp,2023.1.2,59.9881463421545,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,2.8345688999997947,None,0,space,0.6357297999984439,0,,,,,,,,,,,,,,516300,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h47.00.642,Rewa's Exp,2023.1.2,59.9881463421545,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,,,,,2.8011345000013534,None,0,space,0.9634167999993224,0,,,,,,,,,,,,,,516300,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h47.00.642,Rewa's Exp,2023.1.2,59.9881463421545,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,3,3,2,,,,,,,,,,,,,3.317535800000769,None,0,space,0.6418516999983694,0,,,,,,,,,,,,,,516300,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h47.00.642,Rewa's Exp,2023.1.2,59.9881463421545,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,0,0,0,,,,,,,,,2.684913899998719,,,,,0,43.2731361999995,None,0,space,0.8501778999998351,,,,,,,,,516300,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h47.00.642,Rewa's Exp,2023.1.2,59.9881463421545,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,1,1,1,,,,,,,,,2.351451200000156,,,,,-2,49.77287239999896,None,0,None,,,,,,,,,,516300,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h47.00.642,Rewa's Exp,2023.1.2,59.9881463421545,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,3,,,,,,,,,2.351690499999677,,,,,-4,55.74980630000027,None,0,None,,,,,,,,,,516300,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h47.00.642,Rewa's Exp,2023.1.2,59.9881463421545,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,3,3,2,,,,,,,,,2.701366599998437,,,,,-6,61.74435169999924,None,0,None,,,,,,,,,,516300,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h47.00.642,Rewa's Exp,2023.1.2,59.9881463421545,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,2,,,,,0.07495100000051025,,,,,-6,,,,,,None,0,None,,,,,,516300,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h47.00.642,Rewa's Exp,2023.1.2,59.9881463421545,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,,,,,0,0,0,3,0.07231269999829237,,,,,-6,,,,,,,,,None,0,None,,,516300,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h47.00.642,Rewa's Exp,2023.1.2,59.9881463421545,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.70379010000033,65.70379010000033,516300,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_14h47.00.642,Rewa's Exp,2023.1.2,59.9881463421545,
