Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,total_score,Left_3.started,response_2.keys,response_2.corr,response_3.keys,response_3.corr,response_4.keys,response_4.corr,text_2.started,text_5.started,text_2.stopped,text_5.stopped,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,,,,,,,,,,,,,1.5511792999996032,None,0,-2,,,,,,,,,,,,645878,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h10.05.001,Rewa's Exp,2023.1.2,60.01561606343358,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,1,1,2,,,,,,,,,,,,,2.3177448000005825,None,0,-4,,,,,,,,,,,,645878,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h10.05.001,Rewa's Exp,2023.1.2,60.01561606343358,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,2,2,0,,,,,,,,,,,,,2.3508037999999942,None,0,-6,,,,,,,,,,,,645878,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h10.05.001,Rewa's Exp,2023.1.2,60.01561606343358,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,0,3,3,1,,,,,,,,,,,,,1.734309100000246,None,0,-8,,,,,,,,,,,,645878,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h10.05.001,Rewa's Exp,2023.1.2,60.01561606343358,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1.5011245999994571,,,-10,44.23166880000008,None,0,,,,,,,,,645878,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h10.05.001,Rewa's Exp,2023.1.2,60.01561606343358,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,0,1,1,3,,,,,,,,,1.1347653000002538,,,-12,49.55442690000018,None,0,,,,,,,,,645878,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h10.05.001,Rewa's Exp,2023.1.2,60.01561606343358,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,2,2,2,,,,,,,,,1.8844930999994176,,,-14,54.28171610000027,None,0,,,,,,,,,645878,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h10.05.001,Rewa's Exp,2023.1.2,60.01561606343358,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,,,,,0,3,3,1,,,,,,,,,1.1507526999994298,,,-16,59.77835489999961,None,0,,,,,,,,,645878,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h10.05.001,Rewa's Exp,2023.1.2,60.01561606343358,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,,,,,,,,,0,0,0,1,,,,,0.9682378999996217,,,-18,,,,None,0,,,,,,,645878,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h10.05.001,Rewa's Exp,2023.1.2,60.01561606343358,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,,,,,0,0,0,2,0.08051849999992555,,,-20,,,,,,None,0,,,,,645878,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h10.05.001,Rewa's Exp,2023.1.2,60.01561606343358,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.08947179999996,67.08947179999996,68.09867860000031,68.09867860000031,645878,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h10.05.001,Rewa's Exp,2023.1.2,60.01561606343358,
