Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,key_skip.keys,total_score,response_2.keys,response_2.corr,key_skip_2.keys,response_3.keys,response_3.corr,key_skip_3.keys,key_skip_3.rt,response_4.keys,response_4.corr,key_skip_4.keys,key_skip_4.rt,text_2.started,text_5.started,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.10744169999998121,None,0,None,0,,,,,,,,,,,,,,951807,1 - without skip,"54:46, 51:49","2.0s, 1.5s",2023-07-13_14h49.58.837,Rewa's Exp,2023.1.2,60.004560346383805,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0.07349450000037905,,,,0,None,0,None,,,,,,,,,,,951807,1 - without skip,"54:46, 51:49","2.0s, 1.5s",2023-07-13_14h49.58.837,Rewa's Exp,2023.1.2,60.004560346383805,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,2,,,,,1.5682013999994524,,,,0,,,,None,0,space,0.5991397999987385,,,,,,,951807,1 - without skip,"54:46, 51:49","2.0s, 1.5s",2023-07-13_14h49.58.837,Rewa's Exp,2023.1.2,60.004560346383805,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,1,1,0,,,,,1.667982499999198,,,,-2,,,,None,0,None,,,,,,,,951807,1 - without skip,"54:46, 51:49","2.0s, 1.5s",2023-07-13_14h49.58.837,Rewa's Exp,2023.1.2,60.004560346383805,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,2,2,1,,,,,2.3679327000008925,,,,-4,,,,None,0,None,,,,,,,,951807,1 - without skip,"54:46, 51:49","2.0s, 1.5s",2023-07-13_14h49.58.837,Rewa's Exp,2023.1.2,60.004560346383805,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,3,3,3,,,,,2.184789799999635,,,,-6,,,,None,0,None,,,,,,,,951807,1 - without skip,"54:46, 51:49","2.0s, 1.5s",2023-07-13_14h49.58.837,Rewa's Exp,2023.1.2,60.004560346383805,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,,,,,0,0,0,1,2.1679039999999077,,,,-8,,,,,,,,None,0,space,0.9763383000008616,,,951807,1 - without skip,"54:46, 51:49","2.0s, 1.5s",2023-07-13_14h49.58.837,Rewa's Exp,2023.1.2,60.004560346383805,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,,,,,0,1,1,2,1.8845447000003333,,,,-10,,,,,,,,None,0,space,0.6631051000003936,,,951807,1 - without skip,"54:46, 51:49","2.0s, 1.5s",2023-07-13_14h49.58.837,Rewa's Exp,2023.1.2,60.004560346383805,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,,,,,0,2,2,0,1.6511708999987604,,,,-12,,,,,,,,None,0,space,0.6085339000001113,,,951807,1 - without skip,"54:46, 51:49","2.0s, 1.5s",2023-07-13_14h49.58.837,Rewa's Exp,2023.1.2,60.004560346383805,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,,,,,0,3,3,3,2.1678933999992296,,,,-14,,,,,,,,None,0,None,,,,951807,1 - without skip,"54:46, 51:49","2.0s, 1.5s",2023-07-13_14h49.58.837,Rewa's Exp,2023.1.2,60.004560346383805,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.790330100000574,63.790330100000574,,,,,,,,,
