Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,response.rt,Left_3.started,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,20.349079199993866,space,2.1579866999963997,,,,,,,,,,,,,,,,,,,,,,,,,,Antoine2,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h00.23.445,Rewa's Exp,2023.1.2,60.07156926886537,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.525046199996723,space,0.4373963999969419,,,,,,,,,,,,,,,,,,,,,,,Antoine2,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h00.23.445,Rewa's Exp,2023.1.2,60.07156926886537,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,Antoine2,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h00.23.445,Rewa's Exp,2023.1.2,60.07156926886537,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,19.90811780000513,20.859534800008987,0.9514170000038575,None,0,None,-2,60:40,-2,,,,,,,,,,,,,Antoine2,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h00.23.445,Rewa's Exp,2023.1.2,60.07156926886537,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,24.786867900009383,26.259275100004743,1.4724071999953594,None,0,None,-4,60:40,-2,,,,,,,,,,,,,Antoine2,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h00.23.445,Rewa's Exp,2023.1.2,60.07156926886537,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,30.183602100005373,31.16023470000073,0.9766325999953551,None,0,None,-6,60:40,-2,,,,,,,,,,,,,Antoine2,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h00.23.445,Rewa's Exp,2023.1.2,60.07156926886537,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,35.08027659999789,36.57594809999864,1.4956715000007534,None,0,None,-8,60:40,-2,,,,,,,,,,,,,Antoine2,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h00.23.445,Rewa's Exp,2023.1.2,60.07156926886537,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,,,,40.50034169999708,41.97588870000618,1.4755470000091009,None,0,None,-10,60:40,-2,,,,,,,,,,,,,Antoine2,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h00.23.445,Rewa's Exp,2023.1.2,60.07156926886537,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,,,,45.895098699998925,47.39266759999737,1.4975688999984413,None,0,None,-12,60:40,-2,,,,,,,,,,,,,Antoine2,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h00.23.445,Rewa's Exp,2023.1.2,60.07156926886537,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,,,,,51.30332370000542,52.275925499998266,0.9726017999928445,None,0,None,-14,60:40,-2,,,,,,,,,,,,,Antoine2,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h00.23.445,Rewa's Exp,2023.1.2,60.07156926886537,
