Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,response.rt,Left_3.started,response_2.keys,response_2.corr,key_skip_2.keys,response_2.rt,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,19.79765330000373,space,6.330266799981473,,,,,,,,,,,,,,,,,,,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.16036069999973,space,0.15206519998901058,,,,,,,,,,,,,,,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,23.662560900003882,24.613521699997364,0.9509607999934815,None,0,None,-2,60:40,-2,,,,,,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,28.52427130000433,30.013018300000113,1.488746999995783,None,0,None,-4,60:40,-2,,,,,,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,33.927366499992786,34.68038570000499,0.7530192000122042,right,1,None,-3,60:40,1,0.7304244999832008,,,,,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,38.608901700004935,39.7964956999931,1.1875939999881666,left,1,None,-2,60:40,1,1.1611659999907715,,,,,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,1,0,4,3,,,,,,,,,,,,,,,,,,,,43.736690299992915,44.279810899999575,0.5431206000066595,left,1,None,-1,60:40,1,0.5130651999934344,,,,,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,,,,48.17852109999512,49.61311540000315,1.4345943000080297,right,0,None,-3,60:40,-2,1.4162235999974655,,,,,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,,,,53.582550499995705,54.54658359999303,0.964033099997323,None,0,None,-5,60:40,-2,,,,,,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,1,3,7,0,,,,,,,,,,,,,,,,,,,,58.46474510000553,58.99905719999515,0.53431209998962,left,0,None,-7,60:40,-2,0.5043348999897717,,,,,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,,,,,0,0,0,1,,,,,,,,,,,,,,,,62.743734000003315,63.71337119999225,0.9696371999889379,,,,-9,57:43,-2,,68.06245800000033,None,0,None,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,1,1,0,,,,,,,,,,,,,,,,67.64439729999867,68.14698520000093,0.5025879000022542,,,,-11,57:43,-2,,72.96302670000296,left,0,None,0.4780033999995794,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,72.11627270000463,72.79663650000293,0.6803637999983039,,,,-10,57:43,1,,77.43504240000038,left,1,None,0.6620479999983218,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,76.73413959999743,77.71324159999494,0.9791019999975106,,,,-12,57:43,-2,,82.05297960000462,None,0,None,,,,,,,,Antoine2,2 - with skip,"60:40, 57:43","1.5s, 1.0s",2023-07-19_18h02.19.414,Rewa's Exp,2023.1.2,59.852857739417644,
