Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,response.rt,Left_3.started,response_2.keys,response_2.corr,key_skip_2.keys,response_2.rt,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,61.7537491999974,space,1.2424194000050193,,,,,,,,,,,,,,,,,,,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.014115500001935,space,0.5427883999946062,,,,,,,,,,,,,,,,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,60.054922800001805,62.53909360000398,2.4841708000021754,None,0,None,-2,60:40,-2,,,,,,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,66.48061790000065,68.95569279999472,2.4750748999940697,None,0,None,-4,60:40,-2,,,,,,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,72.90627429999586,73.50584019999951,0.599565900003654,right,1,None,-3,60:40,1,0.5815008000063244,,,,,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,77.4314841000014,79.40584439999657,1.974360299995169,None,0,None,-5,60:40,-2,,,,,,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,1,0,4,3,,,,,,,,,,,,,,,,,,,,83.31350000000384,85.28929590000189,1.9757958999980474,None,0,None,-7,60:40,-2,,,,,,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,1,1,5,0,,,,,,,,,,,,,,,,,,,,89.2064226000075,91.70588049999787,2.499457899990375,None,0,None,-9,60:40,-2,,,,,,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,,,,,95.61581489999662,98.10620500000368,2.490390100007062,None,0,None,-11,60:40,-2,,,,,,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,,,,102.06992249999894,104.03934119999758,1.9694186999986414,None,0,None,-13,60:40,-2,,,,,,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,0,0,2,,,,,,,,,,,,,,,,107.784052899995,110.27271930000279,2.488666400007787,,,,-15,57:43,-2,,114.03068929999426,None,0,None,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,0,,,,,,,,,,,,,,,,114.21774160000496,116.70603830000618,2.4882967000012286,,,,-17,57:43,-2,,120.46436139999423,None,0,None,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,120.66807980000158,122.30587989999913,1.6378000999975484,,,,-19,57:43,-2,,126.91461129998788,left,0,None,1.6112261999951443,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,126.2434518999944,128.2224952999968,1.9790434000024106,,,,-21,57:43,-2,,132.4900709999929,None,0,None,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,,,,,1,0,4,3,,,,,,,,,,,,,,,,132.13392439999734,134.10587990000204,1.9719555000046967,,,,-23,57:43,-2,,138.38043249999464,None,0,None,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,,,,,1,1,5,1,,,,,,,,,,,,,,,,138.06630659999792,140.02251650000107,1.9562099000031594,,,,-25,57:43,-2,,144.3122519999888,None,0,None,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,,,,,1,2,6,0,,,,,,,,,,,,,,,,143.93705789999512,146.42284980000113,2.4857919000060065,,,,-27,57:43,-2,,150.18359999998938,None,0,None,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,1,3,7,2,,,,,,,,,,,,,,,,150.3420402000047,152.83922880000318,2.4971885999984806,,,,-29,57:43,-2,,156.58863729999575,None,0,None,,,,,,,,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,160.2248966999905,160.2248966999905,160.2248966999905,160.2248966999905,space,3.8913564999966184,Antoine3,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h52.56.381,Rewa's Exp,2023.1.2,60.0719301278731,
