Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,response.rt,key_skip.keys,total_score,Dot_ratio,current_score,Left_3.started,response_2.keys,response_2.corr,key_skip_2.keys,response_2.rt,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,20.386575900003663,space,1.1560276999953203,,,,,,,,,,,,,,,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.57423149999522,space,0.5996816999977455,,,,,,,,,,,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19.52500520000467,20.748758900008397,1.2237537000037264,right,1,1.1912983999936841,None,1,60:40,1,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,24.68530740001006,26.648853100006818,1.9635456999967573,None,0,,None,-1,60:40,-2,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,30.591609900002368,33.0822610000032,2.4906511000008322,None,0,,None,-3,60:40,-2,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,37.05000860001019,39.01545350000379,1.9654448999935994,None,0,,None,-5,60:40,-2,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,42.945212000005995,45.432139800002915,2.48692779999692,None,0,,None,-7,60:40,-2,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,,,,49.33813889999874,51.31554290000349,1.9774040000047535,None,0,,None,-9,60:40,-2,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,,,,55.22423130000243,57.19900220001,1.9747709000075702,None,0,,None,-11,60:40,-2,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,1,3,7,0,,,,,,,,,,,,,,,,,,,,61.100484200011124,63.59905509999953,2.498570899988408,None,0,,None,-13,60:40,-2,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,1,,,,,,,,,,,,,,,,67.32774300000165,69.29882039999939,1.9710773999977391,,,,,-15,57:43,-2,72.62476439999591,None,0,None,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,,,,,73.26875480001036,75.74903900000209,2.480284199991729,,,,,-17,57:43,-2,78.56561380000494,None,0,None,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,2,2,0,,,,,,,,,,,,,,,,79.69046560001152,81.032191899998,1.341726299986476,,,,,-19,57:43,-2,84.98733980000543,left,0,None,1.3147133000020403,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,84.94359770001029,86.91585010000563,1.972252399995341,,,,,-21,57:43,-2,90.24063400000159,None,0,None,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,1,0,4,2,,,,,,,,,,,,,,,,90.85413570000674,93.34901279999758,2.4948770999908447,,,,,-23,57:43,-2,96.15102750000369,None,0,None,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,,,,,1,1,5,0,,,,,,,,,,,,,,,,97.26029689999996,99.74905530000979,2.4887584000098286,,,,,-25,57:43,-2,102.55732609999541,None,0,None,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,,,,,1,2,6,1,,,,,,,,,,,,,,,,103.66168350000225,105.63249390000419,1.9708104000019375,,,,,-27,57:43,-2,108.95873719999508,None,0,None,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,,,,,1,3,7,3,,,,,,,,,,,,,,,,109.53879940000479,111.51581250000163,1.9770130999968387,,,,,-29,57:43,-2,114.83578609999677,None,0,None,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,0,0,2,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,117.95146330000716,117.95146330000716,117.95146330000716,117.95146330000716,space,6.286949699991965,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,1,0,1,0,0,0,0,2,,,,,0,0,0,2,0,0,0,3,,,,,,,,121.75150510000822,124.2490175999992,2.4975124999909895,None,0,,None,-31,60:40,-2,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,1,0,1,0,0,1,1,0,,,,,0,0,0,2,0,0,0,3,,,,,,,,128.1547475999978,130.64902209999855,2.4942745000007562,None,0,,None,-33,60:40,-2,,,,,,,,,,,,Antoine3,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_12h55.15.030,Rewa's Exp,2023.1.2,60.00783702206401,
