Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Left_3.started,Videoshowstart,Videoshowstop,VideoshowRT,response_2.keys,response_2.corr,key_skip_2.keys,total_score,Dot_ratio,current_score,response_3.keys,response_3.corr,key_skip_3.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,response_2.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,22.19412969998666,space,1.6836011000123108,,,,,,,,,,,,,,,,,,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.90258179999364,space,0.37522050002007745,,,,,,,,,,,,,,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,26.93198009999469,21.56801629999245,23.526743999987957,1.9587276999955066,None,0,None,-2,57:43,-2,,,,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,32.81200559998979,27.44797519998974,28.943600599988713,1.4956253999989713,None,0,None,-4,57:43,-2,,,,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,38.21129509998718,32.84795799999847,34.32683099999849,1.4788730000000214,None,0,None,-6,57:43,-2,,,,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,43.60339989999193,38.239567699987674,40.21057969999674,1.9710120000090683,None,0,None,-8,57:43,-2,,,,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,49.5174246999959,44.153503499997896,45.64414049999323,1.4906369999953313,None,0,None,-10,57:43,-2,,,,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,1,1,5,0,,,,,,,,,,,,,,,,54.93354719999479,49.56945739999355,51.06039299999247,1.4909355999989202,None,0,None,-12,57:43,-2,,,,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,60.338014799999655,54.97390909999376,56.94421899999725,1.9703099000034854,None,0,None,-14,57:43,-2,,,,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,66.27802769999835,60.91403859999264,62.893848199993954,1.9798096000013174,None,0,None,-16,57:43,-2,,,,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,66.62755469999684,68.12712389999069,1.4995691999938572,,,,-18,54:46,-2,None,0,None,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,72.04395130000194,74.01007549998758,1.966124199985643,,,,-20,54:46,-2,None,0,None,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,77.97458799999731,79.46018489998823,1.4855968999909237,,,,-22,54:46,-2,None,0,None,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,83.37975429999642,85.36001239999314,1.9802580999967176,,,,-24,54:46,-2,None,0,None,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,0,,,,,1,0,4,3,,,,,,,,,,,,,89.2639635999949,91.24328859998786,1.9793249999929685,,,,-26,54:46,-2,None,0,None,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,0,,,,,1,1,5,1,,,,,,,,,,,,,95.14221079999697,97.1108791000006,1.9686683000036282,,,,-28,54:46,-2,None,0,None,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,,,,,1,2,6,0,,,,,,,,,,,,,101.01548009998805,102.51062909999746,1.4951490000094054,,,,-30,54:46,-2,None,0,None,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,,,,,1,3,7,2,,,,,,,,,,,,,106.43109669999103,107.92719919999945,1.4961025000084192,,,,-32,54:46,-2,None,0,None,,,,,,,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,114.42396959998587,114.42396959998587,114.42396959998587,114.42396959998587,space,41.3184062000073,,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,1,0,1,0,0,0,0,2,0,0,0,2,,,,,0,0,0,3,,,,,,,,158.57266009999148,153.20862269999634,153.72769569999946,0.5190730000031181,right,0,None,-34,57:43,-2,,,,,,,,,,0.4963070000085281,Antoine4,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h00.58.275,Rewa's Exp,2023.1.2,60.00751293670121,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.00399959999777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
