Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Left_3.started,Videoshowstart,Videoshowstop,VideoshowRT,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,total_score,Dot_ratio,current_score,response_3.keys,response_3.corr,response_3.rt,key_skip_3.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,20.244830499999807,space,1.15141649999714,,,,,,,,,,,,,,,,,,,,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.414556699994137,space,0.7347526999947149,,,,,,,,,,,,,,,,,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,0,0,1,,,,,,,,,,,,,,,,24.816190999990795,19.369804400004796,20.84039009999833,1.470585699993535,right,1,1.443939800010412,None,1,57:43,1,,,,,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,0,1,1,2,,,,,,,,,,,,,,,,30.243426699991687,24.797354900001665,25.190122800006066,0.39276790000440087,left,1,0.36983959999633953,None,2,57:43,1,,,,,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,0,2,2,0,,,,,,,,,,,,,,,,34.54700479999883,29.100562200008426,30.58976879999682,1.4892065999883926,None,0,,None,0,57:43,-2,,,,,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,3,3,3,,,,,,,,,,,,,,,,39.95528519999061,34.50879380000697,36.489792899999884,1.9809990999929141,None,0,,None,-2,57:43,-2,,,,,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,1,0,4,0,,,,,,,,,,,,,,,,45.83918789999734,40.39277990000846,41.889868500002194,1.497088599993731,None,0,,None,-4,57:43,-2,,,,,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,1,1,5,2,,,,,,,,,,,,,,,,51.25087770000391,45.80443340000056,47.289774300006684,1.485340900006122,None,0,,None,-6,57:43,-2,,,,,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,1,2,6,1,,,,,,,,,,,,,,,,56.67516529999557,51.22866310000245,53.18979869999748,1.961135599995032,None,0,,None,-8,57:43,-2,,,,,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,1,3,7,3,,,,,,,,,,,,,,,,62.56357719999505,57.11776690000261,59.07323870000255,1.9554717999999411,None,0,,None,-10,57:43,-2,,,,,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,,,,,0,0,0,3,,,,,,,,,,,,,62.82041030000255,63.506752100001904,0.6863417999993544,,,,,-12,54:46,-2,right,0,0.6580990000074962,None,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,0,1,1,2,,,,,,,,,,,,,67.46383360000618,68.95654699999432,1.4927133999881335,,,,,-14,54:46,-2,None,0,,None,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,0,2,2,0,,,,,,,,,,,,,72.89429039999959,74.39001060000737,1.4957202000077814,,,,,-16,54:46,-2,None,0,,None,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,,,,,0,3,3,1,,,,,,,,,,,,,78.30966319999425,80.27312450000318,1.9634613000089303,,,,,-18,54:46,-2,None,0,,None,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,,,,,1,0,4,1,,,,,,,,,,,,,84.18767780000053,86.15664260000631,1.9689648000057787,,,,,-20,54:46,-2,None,0,,None,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,1,1,5,0,,,,,,,,,,,,,90.09745319999638,91.58980669999437,1.4923534999979893,,,,,-22,54:46,-2,None,0,,None,,,,,,,Antoine5,1 - without skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h09.06.678,Rewa's Exp,2023.1.2,59.96113319243529,
