Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Left_3.started,Videoshowstart,Videoshowstop,VideoshowRT,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,total_score,Dot_ratio,current_score,response_3.keys,response_3.corr,key_skip_3.keys,response_3.rt,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,19.089375099996687,space,1.3925311999919359,,,,,,,,,,,,,,,,,,,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.507915399997728,space,0.27853569999570027,,,,,,,,,,,,,,,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,23.444158099999186,18.16774180000357,18.653001400001813,0.4852595999982441,right,1,0.45336410000163596,None,1,57:43,1,,,,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,1,1,2,,,,,,,,,,,,,,,,27.841773399995873,22.565405499990447,22.920364799996605,0.3549593000061577,left,1,0.3358016999991378,None,2,57:43,1,,,,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,2,2,0,,,,,,,,,,,,,,,,32.169158899996546,26.892833999998402,28.386325500003295,1.4934915000048932,None,0,,None,0,57:43,-2,,,,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,1,0,3,3,3,,,,,,,,,,,,,,,,37.59484679999878,32.318545899994206,34.28646599999047,1.9679200999962632,None,0,,None,-2,57:43,-2,,,,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,1,0,4,2,,,,,,,,,,,,,,,,43.529417400000966,38.253000199998496,39.73637109999254,1.4833708999940427,None,0,,None,-4,57:43,-2,,,,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,1,1,1,5,1,,,,,,,,,,,,,,,,48.944727299996885,43.66841589999967,45.63645700000052,1.9680411000008462,None,0,,None,-6,57:43,-2,,,,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,1,1,2,6,3,,,,,,,,,,,,,,,,54.87600720000046,49.59962939999241,51.56965219999256,1.9700228000001516,None,0,,None,-8,57:43,-2,,,,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,1,3,7,0,,,,,,,,,,,,,,,,60.80032179999398,55.52399859999423,56.88654809999571,1.362549500001478,right,1,1.3452432000049157,None,-7,57:43,1,,,,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,,,,,0,0,0,2,,,,,,,,,,,,,60.633146399995894,62.11988709999423,1.486740699998336,,,,,-9,54:46,-2,None,0,None,,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,1,,,,,0,1,1,1,,,,,,,,,,,,,66.04901979998976,66.36987519999093,0.3208554000011645,,,,,-11,54:46,-2,left,0,None,0.29300390000571497,,,,,,,Antoine5,2 - with skip,"57:43, 54:46","2.0s, 1.5s",2023-07-21_13h11.19.174,Rewa's Exp,2023.1.2,60.02055103769336,
