Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,key_skip_3.keys,total_score,Dot_ratio,current_score,response_3.rt,response_4.keys,response_4.corr,key_skip_4.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,18.657127200000104,space,1.0645749999966938,,,,,,,,,,,,,,,,,,,,,,,,Antoine6,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h13.45.659,Rewa's Exp,2023.1.2,59.96055794480673,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.740316000010353,space,0.412940800000797,,,,,,,,,,,,,,,,,,,,,Antoine6,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h13.45.659,Rewa's Exp,2023.1.2,59.96055794480673,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,Antoine6,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h13.45.659,Rewa's Exp,2023.1.2,59.96055794480673,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,,,,,,,,,,,,17.43058590000146,18.389523799996823,0.9589378999953624,None,0,None,-2,54:46,-2,,,,,,,,,,,Antoine6,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h13.45.659,Rewa's Exp,2023.1.2,59.96055794480673,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,,,,,,,,,,,,22.352630199995474,23.839484399999492,1.486854200004018,None,0,None,-4,54:46,-2,,,,,,,,,,,Antoine6,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h13.45.659,Rewa's Exp,2023.1.2,59.96055794480673,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2,3,,,,,,,,,,,,27.77148060000036,28.17287579999538,0.40139519999502227,right,0,None,-6,54:46,-2,0.375619700003881,,,,,,,,,,Antoine6,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h13.45.659,Rewa's Exp,2023.1.2,59.96055794480673,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3,0,,,,,,,,,,,,32.097998299999745,33.58957270000246,1.491574400002719,None,0,None,-8,54:46,-2,,,,,,,,,,,Antoine6,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h13.45.659,Rewa's Exp,2023.1.2,59.96055794480673,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,1,0,4,2,,,,,,,,,,,,37.539076100001694,39.039339299997664,1.5002631999959704,None,0,None,-10,54:46,-2,,,,,,,,,,,Antoine6,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h13.45.659,Rewa's Exp,2023.1.2,59.96055794480673,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,1,1,5,0,,,,,,,,,,,,42.950417700005346,44.439653699999326,1.48923599999398,None,0,None,-12,54:46,-2,,,,,,,,,,,Antoine6,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h13.45.659,Rewa's Exp,2023.1.2,59.96055794480673,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,1,2,6,1,,,,,,,,,,,,48.3977431999956,49.373146500001894,0.9754033000062918,None,0,None,-14,54:46,-2,,,,,,,,,,,Antoine6,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h13.45.659,Rewa's Exp,2023.1.2,59.96055794480673,
