Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,key_skip_3.keys,total_score,Dot_ratio,current_score,response_3.rt,response_4.keys,response_4.corr,key_skip_4.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,22.438595900006476,space,1.2739049999800045,,,,,,,,,,,,,,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.737967200009734,space,0.3499623999814503,,,,,,,,,,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,,,,,,,,,,,,21.03692719999526,21.99303769999824,0.9561105000029784,None,0,None,-2,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,3,,,,,,,,,,,,25.948945399999502,26.92652090000047,0.9775755000009667,None,0,None,-4,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2,2,,,,,,,,,,,,30.817842999997083,31.727203500006,0.9093605000089156,left,1,None,-3,54:46,1,0.8903826999885496,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3,0,,,,,,,,,,,,35.70637909999641,37.19335119999596,1.486972099999548,None,0,None,-5,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,1,0,4,3,,,,,,,,,,,,41.11258020000241,42.07704669999657,0.9644664999941597,None,0,None,-7,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,1,1,5,2,,,,,,,,,,,,45.99520669999765,47.4763801000081,1.481173400010448,None,0,None,-9,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,1,2,6,1,,,,,,,,,,,,51.3970474999951,52.36634000000777,0.9692925000126706,None,0,None,-11,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,1,3,7,0,,,,,,,,,,,,56.2865191000019,57.776613299996825,1.4900941999949282,None,0,None,-13,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,0,0,0,3,,,,,,,,61.523930099996505,62.493352300007246,0.9694222000107402,,,,-15,51:49,-2,,None,0,None,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,0,1,1,1,,,,,,,,66.418636900009,67.3931564999948,0.974519599985797,,,,-17,51:49,-2,,None,0,None,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,0,2,2,0,,,,,,,,71.35468400000536,72.843438099997,1.4887540999916382,,,,-19,51:49,-2,,None,0,None,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,0,3,3,2,,,,,,,,76.78703700000187,78.27643719999469,1.489400199992815,,,,-21,51:49,-2,,None,0,None,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,1,0,4,1,,,,,,,,82.19543340000382,83.17664200000581,0.9812086000019917,,,,-23,51:49,-2,,None,0,None,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,1,1,5,3,,,,,,,,87.07108110000263,88.0431399000081,0.9720588000054704,,,,-25,51:49,-2,,None,0,None,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,1,2,6,0,,,,,,,,91.99879189999774,93.49315510000451,1.4943632000067737,,,,-27,51:49,-2,,None,0,None,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,1,3,7,2,,,,,,,,97.40245960000902,98.89320639999642,1.4907467999873916,,,,-29,51:49,-2,,None,0,None,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.72426240000641,105.72426240000641,105.72426240000641,105.72426240000641,space,191.03702489999705,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h16.09.794,Rewa's Exp,2023.1.2,59.999520001931266,
