Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,response_3.rt,key_skip_3.keys,total_score,Dot_ratio,current_score,response_4.keys,response_4.corr,key_skip_4.keys,response_4.rt,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,20.541224899992812,space,1.4316570999944815,,,,,,,,,,,,,,,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.996357399999397,space,0.7919736999901943,,,,,,,,,,,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,,,,,,,,,,,,19.756153099995572,20.508569599987823,0.7524164999922505,right,1,0.7318364000093425,None,1,54:46,1,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,,,,,,,,,,,,24.430342899999232,25.142303599990555,0.711960699991323,left,1,0.6821621999988565,None,2,54:46,1,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,3,,,,,,,,,,,,29.077202599990414,29.65831220000109,0.5811096000106772,right,0,0.5532339999917895,None,0,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,,,,,,,,,,,,33.55738800000108,35.04164889999083,1.4842608999897493,None,0,,None,-2,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,2,,,,,,,,,,,,38.93989939999301,40.42490949999774,1.4850101000047289,None,0,,None,-4,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,1,,,,,,,,,,,,44.38486669999838,45.358466699995915,0.973599999997532,None,0,,None,-6,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,1,2,6,0,,,,,,,,,,,,49.336992799988366,50.82506389998889,1.488071100000525,None,0,,None,-8,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,1,3,7,3,,,,,,,,,,,,54.75230729999021,55.725230199997895,0.9729229000076884,None,0,,None,-10,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,,,,,0,0,0,2,,,,,,,,59.47516170000017,60.974834299995564,1.4996725999953924,,,,,-12,51:49,-2,None,0,None,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,,,,,0,1,1,0,,,,,,,,64.86837999999989,66.35836369999743,1.4899836999975378,,,,,-14,51:49,-2,None,0,None,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,,,,,0,2,2,3,,,,,,,,70.31597679998958,71.29174960000091,0.9757728000113275,,,,,-16,51:49,-2,None,0,None,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,,,,,0,3,3,1,,,,,,,,75.19990369999141,75.74171489999571,0.5418112000043038,,,,,-15,51:49,1,right,1,None,0.5111005999933695,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,,,,,1,0,4,2,,,,,,,,79.64349139999831,81.14165609999327,1.498164699994959,,,,,-17,51:49,-2,None,0,None,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,,,,,1,1,5,0,,,,,,,,85.05615479999688,86.5415806999954,1.4854258999985177,,,,,-19,51:49,-2,None,0,None,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,,,,,1,2,6,1,,,,,,,,90.47365279999212,91.44194540000171,0.9682926000095904,,,,,-21,51:49,-2,None,0,None,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,,,,,1,3,7,3,,,,,,,,95.35289249999914,96.32490589999361,0.9720133999944665,,,,,-23,51:49,-2,None,0,None,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.16385729999456,103.16385729999456,103.16385729999456,103.16385729999456,space,39.02506549999816,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,1,0,1,0,0,0,0,3,0,0,0,2,0,0,0,2,,,,,,,,,,,,139.2749000999902,139.758608499993,0.48370840000279713,right,0,0.4522270000015851,None,-25,54:46,-2,,,,,,,,,,,Antoine6,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h22.21.629,Rewa's Exp,2023.1.2,60.00992564043284,
