Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,key_skip_3.keys,total_score,Dot_ratio,current_score,response_3.rt,response_4.keys,response_4.corr,key_skip_4.keys,key_skip_4.rt,response_4.rt,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,key_skip_3.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,20.261682600001222,space,1.936227099999087,,,,,,,,,,,,,,,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.228963700006716,space,0.6093904999870574,,,,,,,,,,,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,,,,,,,,,,,,20.120343100003083,21.06078110000817,0.9404380000050878,None,0,None,-2,54:46,-2,,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,,,,,,,,,,,,25.004378900004667,26.310899300005985,1.3065204000013182,right,1,None,-1,54:46,1,1.2749630000034813,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2,2,,,,,,,,,,,,30.251750900002662,30.894473799999105,0.6427228999964427,left,1,None,0,54:46,1,0.6123091999907047,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3,3,,,,,,,,,,,,34.80196850000357,35.54427150000993,0.7423030000063591,left,1,None,1,54:46,1,0.7100461999943946,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,1,0,4,0,,,,,,,,,,,,39.48785950000456,40.17773809999926,0.6898785999946995,right,1,None,2,54:46,1,0.6650222999887774,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,1,1,5,2,,,,,,,,,,,,44.13928099999612,44.57780710000952,0.4385261000134051,left,1,None,3,54:46,1,0.4060435999854235,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,1,2,6,3,,,,,,,,,,,,48.50499660000787,49.14422499999637,0.6392283999884967,right,0,None,1,54:46,-2,0.6148514999949839,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,1,3,7,1,,,,,,,,,,,,53.07570850000775,54.04450469999574,0.9687961999879917,None,0,None,-1,54:46,-2,,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,0,0,0,3,,,,,,,,57.786690299995826,58.29421860000002,0.5075283000041964,,,,-1,51:49,0,,None,0,space,0.47653339999669697,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,0,1,1,1,,,,,,,,62.243321800007834,63.211061699999846,0.9677398999920115,,,,-3,51:49,-2,,None,0,None,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,0,2,2,0,,,,,,,,67.12079850000737,68.61088720000407,1.4900886999967042,,,,-5,51:49,-2,,None,0,None,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,0,3,3,2,,,,,,,,72.56158090000099,74.06093479999981,1.4993538999988232,,,,-7,51:49,-2,,None,0,None,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,1,0,4,1,,,,,,,,77.95928589999676,78.92760750000889,0.968321600012132,,,,-9,51:49,-2,,None,0,None,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,1,1,5,0,,,,,,,,82.84632070000225,84.34452569999848,1.4982049999962328,,,,-11,51:49,-2,,None,0,None,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,1,2,6,2,,,,,,,,88.24399930000072,88.67788650000875,0.43388720000803005,,,,-11,51:49,0,,None,0,space,0.4031134000106249,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,1,3,7,3,,,,,,,,92.59843810000166,93.29439979999734,0.6959616999956779,,,,-10,51:49,1,,left,1,None,,0.6746366000006674,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.828419700003,99.828419700003,99.828419700003,99.828419700003,space,15.994313199989847,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,,,,,,,,,,,,113.2744570000068,114.14466790000733,0.8702109000005294,left,1,None,-9,54:46,1,0.8465774999931455,,,,,,,,,,,,,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,1,0,1,0,0,0,0,2,0,0,0,0,0,1,1,2,,,,,,,,,,,,118.08453890000237,118.47805550000339,0.3935166000010213,None,0,space,-9,54:46,0,,,,,,,,,,,,,0.36248799999884795,Antoine8,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h35.51.898,Rewa's Exp,2023.1.2,59.88959951001052,
