Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,response_3.rt,key_skip_3.keys,total_score,Dot_ratio,current_score,response_4.keys,response_4.corr,response_4.rt,key_skip_4.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,25.47684869999648,space,1.297616099996958,,,,,,,,,,,,,,,,,,,,,,,,,Antoine9,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h39.18.146,Rewa's Exp,2023.1.2,59.936443394666234,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.805430699998396,space,0.34616829999140464,,,,,,,,,,,,,,,,,,,,,,Antoine9,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h39.18.146,Rewa's Exp,2023.1.2,59.936443394666234,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,Antoine9,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h39.18.146,Rewa's Exp,2023.1.2,59.936443394666234,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,24.35075749999669,25.125861599997734,0.7751041000010446,right,1,0.7571011000109138,None,1,54:46,1,,,,,,,,,,,Antoine9,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h39.18.146,Rewa's Exp,2023.1.2,59.936443394666234,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,,,,,,,,,,,,29.086469200003194,30.558967700009816,1.4724985000066226,None,0,,None,-1,54:46,-2,,,,,,,,,,,Antoine9,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h39.18.146,Rewa's Exp,2023.1.2,59.936443394666234,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,,,,,,,,,,,,34.47489150000911,35.30890040000668,0.8340088999975706,right,1,0.8081514000077732,None,0,54:46,1,,,,,,,,,,,Antoine9,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h39.18.146,Rewa's Exp,2023.1.2,59.936443394666234,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,39.28001280000899,39.925656300008995,0.6456435000000056,left,1,0.6274675000022398,None,1,54:46,1,,,,,,,,,,,Antoine9,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h39.18.146,Rewa's Exp,2023.1.2,59.936443394666234,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,2,,,,,,,,,,,,43.83516860000964,44.32546829999774,0.49029969998809975,right,0,0.4644043000007514,None,-1,54:46,-2,,,,,,,,,,,Antoine9,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h39.18.146,Rewa's Exp,2023.1.2,59.936443394666234,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,3,,,,,,,,,,,,48.28448810000555,48.77575810000417,0.49126999999862164,left,1,0.4631513999920571,None,0,54:46,1,,,,,,,,,,,Antoine9,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h39.18.146,Rewa's Exp,2023.1.2,59.936443394666234,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,1,0,0,0,0,1,2,6,0,,,,,,,,,,,,52.738493600001675,53.19251500000246,0.4540214000007836,right,1,0.42482810000365134,None,1,54:46,1,,,,,,,,,,,Antoine9,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h39.18.146,Rewa's Exp,2023.1.2,59.936443394666234,
