Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,Left_3.started,response_2.keys,response_2.corr,key_skip_2.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,19.98597680000239,22.46402929999749,2.4780524999951012,None,0,None,-2,60:40,-2,,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,1,1,2,,,,,,,,,,,,,26.386866400003782,28.88076469999214,2.493898299988359,None,0,None,-4,60:40,-2,,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,,,,,32.819115199992666,34.797374399990076,1.9782591999974102,None,0,None,-6,60:40,-2,,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,3,3,1,,,,,,,,,,,,,38.71300649999466,40.68062790000113,1.9676214000064647,None,0,None,-8,60:40,-2,,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,1,0,4,1,,,,,,,,,,,,,44.635101099993335,46.6140929999965,1.978991900003166,None,0,None,-10,60:40,-2,,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,1,1,5,3,,,,,,,,,,,,,50.52429800000391,52.4972495999973,1.9729515999933938,None,0,None,-12,60:40,-2,,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,1,2,6,2,,,,,,,,,,,,,56.436929699993925,58.930734399997164,2.4938047000032384,None,0,None,-14,60:40,-2,,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,1,3,7,0,,,,,,,,,,,,,62.84140769999067,65.33065789999091,2.4892502000002423,None,0,None,-16,60:40,-2,,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,1,,,,,,,,,69.0780373000016,71.04741620000277,1.9693789000011748,,,,-18,57:43,-2,75.23996760000591,None,0,None,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,0,,,,,,,,,75.00155200000154,77.49735629999486,2.495804299993324,,,,-20,57:43,-2,81.16344380000373,None,0,None,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,2,2,2,,,,,,,,,81.41698909999104,83.91417279999587,2.4971837000048254,,,,-22,57:43,-2,87.57880840000871,None,0,None,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,3,,,,,,,,,87.8197419999924,89.79749159999483,1.9777496000024257,,,,-24,57:43,-2,93.98160050000297,None,0,None,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,1,0,4,2,,,,,,,,,93.70757240000239,96.197551499994,2.489979099991615,,,,-26,57:43,-2,99.8694542000012,None,0,None,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,1,1,5,1,,,,,,,,,100.11947679999867,102.09764520000317,1.9781684000045061,,,,-28,57:43,-2,106.28132370000822,None,0,None,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,1,2,6,0,,,,,,,,,106.01214510000136,108.4975737999921,2.4854286999907345,,,,-30,57:43,-2,112.17405430000508,None,0,None,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_15h41.53.929,Rewa's Exp,2023.1.2,59.96275113981949,
