Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,Left_3.started,response_2.keys,response_2.corr,key_skip_2.keys,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,12.423133000003872,space,1.815398599996115,,,,,,,,,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h04.28.974,Rewa's Exp,2023.1.2,59.978503704675646,
,,,,,,,,,,,,,,,,,,,,,14.259245099994587,space,0.7558566999941831,,,,,,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h04.28.974,Rewa's Exp,2023.1.2,59.978503704675646,
,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h04.28.974,Rewa's Exp,2023.1.2,59.978503704675646,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,,,,,,,,,,,,12.281341399997473,14.755957699991995,2.4746162999945227,None,0,None,-2,60:40,-2,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h04.28.974,Rewa's Exp,2023.1.2,59.978503704675646,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,18.693803599991952,20.672676899994258,1.9788733000023058,None,0,None,-4,60:40,-2,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h04.28.974,Rewa's Exp,2023.1.2,59.978503704675646,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,,,,24.582406799992896,26.556202199994004,1.9737954000011086,None,0,None,-6,60:40,-2,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h04.28.974,Rewa's Exp,2023.1.2,59.978503704675646,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,3,3,0,,,,,,,,,,,,30.477167599994573,32.97288299999491,2.4957154000003356,None,0,None,-8,60:40,-2,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h04.28.974,Rewa's Exp,2023.1.2,59.978503704675646,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,1,0,4,0,,,,,,,,,,,,36.885021699999925,39.372808500003885,2.48778680000396,None,0,None,-10,60:40,-2,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h04.28.974,Rewa's Exp,2023.1.2,59.978503704675646,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,1,1,5,2,,,,,,,,,,,,43.29325770000287,45.78939989999344,2.4961421999905724,None,0,None,-12,60:40,-2,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h04.28.974,Rewa's Exp,2023.1.2,59.978503704675646,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,1,2,6,1,,,,,,,,,,,,49.70025159999204,51.672693799991976,1.9724421999999322,None,0,None,-14,60:40,-2,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h04.28.974,Rewa's Exp,2023.1.2,59.978503704675646,
