Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5248.thisRepN,trials_5248.thisTrialN,trials_5248.thisN,trials_5248.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,response_3.rt,key_skip_3.keys,total_score,Dot_ratio,current_score,response_4.keys,response_4.corr,response_4.rt,key_skip_4.keys,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,13.157347499989555,space,1.1523534000007203,,,,,,,,,,,,,,,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h33.56.945,Rewa's Exp,2023.1.2,60.03067567997913,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.328347299990128,space,0.5969645000004675,,,,,,,,,,,,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h33.56.945,Rewa's Exp,2023.1.2,60.03067567997913,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h33.56.945,Rewa's Exp,2023.1.2,60.03067567997913,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,,,,,,,,,,,,12.272426299998187,14.190993099997286,1.9185667999990983,left,1,1.8868885000119917,None,1,54:46,1,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h33.56.945,Rewa's Exp,2023.1.2,60.03067567997913,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,3,,,,,,,,,,,,18.117374799985555,19.02456949999032,0.9071947000047658,left,1,0.874765300002764,None,2,54:46,1,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h33.56.945,Rewa's Exp,2023.1.2,60.03067567997913,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,2,2,1,,,,,,,,,,,,22.966633399992133,24.557983399994555,1.5913500000024214,left,0,1.5610174000030383,None,0,54:46,-2,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h33.56.945,Rewa's Exp,2023.1.2,60.03067567997913,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,3,3,0,,,,,,,,,,,,28.501890399988042,29.474582999988343,0.9726926000003004,left,0,0.9545206000038888,None,-2,54:46,-2,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h33.56.945,Rewa's Exp,2023.1.2,60.03067567997913,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,0,4,2,,,,,,,,,,,,33.436382699990645,34.32461449998664,0.8882317999959923,left,1,0.8600336000090465,None,-1,54:46,1,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h33.56.945,Rewa's Exp,2023.1.2,60.03067567997913,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,1,5,0,,,,,,,,,,,,38.2762284999917,39.44110309999087,1.164874599999166,right,1,1.1471100999915507,None,0,54:46,1,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h33.56.945,Rewa's Exp,2023.1.2,60.03067567997913,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,2,6,3,,,,,,,,,,,,43.366317699998035,44.657726999997976,1.2914092999999411,left,1,1.273422500002198,None,1,54:46,1,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h33.56.945,Rewa's Exp,2023.1.2,60.03067567997913,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,3,7,1,,,,,,,,,,,,48.61836709998897,50.10771169999498,1.4893446000060067,right,1,1.4614105000073323,None,2,54:46,1,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h33.56.945,Rewa's Exp,2023.1.2,60.03067567997913,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.84250419998716,55.6749703999958,1.8324662000086391,,,,,,,,left,0,1.8045884000021033,None,,,,,,,,,
