Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5248.thisRepN,trials_5248.thisTrialN,trials_5248.thisN,trials_5248.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Left_3.started,Videoshowstart,Videoshowstop,VideoshowRT,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,total_score,Dot_ratio,current_score,response_3.keys,response_3.corr,key_skip_3.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,27.765892600058578,space,1.3387189999921247,,,,,,,,,,,,,,,,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.133287700009532,space,0.346983699942939,,,,,,,,,,,,,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,0,0,0,2,,,,,,,,,,,,,,,,32.21831480006222,21.026885300059803,21.83009090006817,0.8032056000083685,left,1,0.7728355000726879,None,1,57:43,1,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,0,1,1,0,,,,,,,,,,,,,,,,36.967035700101405,25.77584650006611,26.365205300040543,0.5893587999744341,right,1,0.5605170999187976,None,2,57:43,1,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,2,0,2,2,3,,,,,,,,,,,,,,,,41.4919539000839,30.300912200007588,31.280525600071996,0.9796134000644088,None,0,,None,0,57:43,-2,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,2,0,3,3,1,,,,,,,,,,,,,,,,46.37782920000609,35.18638860003557,35.99725910008419,0.8108705000486225,right,1,0.7821937999688089,None,1,57:43,1,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,1,0,4,2,,,,,,,,,,,,,,,,51.09724340005778,39.90598600008525,40.91456589999143,1.0085798999061808,left,1,0.9826321000000462,None,2,57:43,1,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,2,1,1,5,3,,,,,,,,,,,,,,,,56.015751100028865,44.824274500017054,45.71357560006436,0.8893011000473052,left,1,0.8726418999722227,None,3,57:43,1,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,2,1,2,6,1,,,,,,,,,,,,,,,,60.822844200069085,49.63137000007555,50.597179700038396,0.9658096999628469,None,0,,None,1,57:43,-2,,,,,,,,,,,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h01.48.277,Rewa's Exp,2023.1.2,60.08333557749914,
