Countdown,color1,color2,correct,screenshot,n,key_skip.keys_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,order
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1.0,,1.0,1.0,0.0,'right',1.0057814121246338,1.0057814121246338,0.0,0.0
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1.0,,1.0,1.0,0.0,'right',0.7419291734695435,0.7419291734695435,0.0,2.0
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,1.0,,1.0,1.0,0.0,'left',0.7492321133613586,0.7492321133613586,0.0,3.0
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1.0,,1.0,1.0,0.0,'left',0.8457651138305664,0.8457651138305664,0.0,1.0

extraInfo
participant,
Task,1 without skip
Dot Ratio,"60:40, 57:43"
Deadline,"2.5s, 2.0s"
date,2023-07-13_16h18.22.751
expName,Rewa's Exp
psychopyVersion,2023.1.2
frameRate,59.93576085144585
﻿Countdown,color1,color2,correct,screenshot,n,key_skip.keys_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,order
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1.0,,1.0,1.0,0.0,'right',0.6923940777778625,0.6923940777778625,0.0,2.0
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1.0,,1.0,1.0,0.0,'right',0.9691321849822998,0.9691321849822998,0.0,0.0
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,1.0,,1.0,1.0,0.0,'left',0.8338121175765991,0.8338121175765991,0.0,1.0
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1.0,,1.0,1.0,0.0,'left',0.8203282952308655,0.8203282952308655,0.0,3.0

extraInfo
participant,
Task,1 without skip
Dot Ratio,"60:40, 57:43"
Deadline,"2.5s, 2.0s"
date,2023-07-13_16h18.22.751
expName,Rewa's Exp
psychopyVersion,2023.1.2
frameRate,59.93576085144585
