Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,key_skip.rt,total_score,Dot_ratio,current_score,response.rt,Left_3.started,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,key_skip_2.rt,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,13.259298400007538,14.011913599999389,0.7526151999918511,None,0,space,0.7360431999841239,0,60:40,0,,,,,,,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,1,1,3,,,,,,,,,,,,,17.93515840001055,18.87838080000074,0.9432223999901908,None,0,space,0.9151260999933584,0,60:40,0,,,,,,,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,2,2,1,,,,,,,,,,,,,22.824129200002062,23.928535800005193,1.1044066000031307,right,1,None,,1,60:40,1,1.0837189000012586,,,,,,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,3,3,2,,,,,,,,,,,,,27.836940000008326,28.99519900001178,1.1582590000034543,left,1,None,,2,60:40,1,1.135567399993306,,,,,,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,1,0,4,2,,,,,,,,,,,,,32.924993600012385,34.12847120000515,1.203477599992766,left,1,None,,3,60:40,1,1.1741825000062818,,,,,,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,1,1,5,3,,,,,,,,,,,,,38.05212930000562,39.12841930000286,1.0762899999972433,left,1,None,,4,60:40,1,1.0470358999882592,,,,,,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,1,2,6,1,,,,,,,,,,,,,43.106356400006916,44.32859350000217,1.2222370999952545,right,1,None,,5,60:40,1,1.201723000005586,,,,,,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,1,3,7,0,,,,,,,,,,,,,48.229502600006526,49.22863290000532,0.9991302999987965,right,1,None,,6,60:40,1,0.9667321999877458,,,,,,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,0,0,2,,,,,,,,,52.97484000000986,54.01198320000549,1.0371431999956258,,,,,7,57:43,1,,58.314325300001656,left,1,1.0042860999965342,None,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,1,1,3,,,,,,,,,57.98186670000723,59.361883600009605,1.3800169000023743,,,,,8,57:43,1,,63.32138379999378,left,1,1.3574806999968132,None,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,2,2,0,,,,,,,,,63.26407060000929,64.41218460000528,1.148113999995985,,,,,9,57:43,1,,68.60362629999872,right,1,1.1306756999983918,None,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,1,,,,,,,,,68.3556940999988,69.81199080000806,1.4562967000092613,,,,,10,57:43,1,,73.69520190000185,right,1,1.4233754000015324,None,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,1,0,4,1,,,,,,,,,73.72469160000037,74.62862970000424,0.9039381000038702,,,,,11,57:43,1,,79.0641367000062,right,1,0.8871908000000985,None,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,1,1,5,2,,,,,,,,,78.53126670001075,79.61165200000687,1.0803852999961236,,,,,11,57:43,0,,83.8707049999939,None,0,,space,1.0483628000074532,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,1,2,6,3,,,,,,,,,83.53999450000993,84.77845750001143,1.2384630000015022,,,,,12,57:43,1,,88.87935730000027,left,1,1.2067217000003438,None,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,1,3,7,0,,,,,,,,,88.697814500003,89.89517370000249,1.1973591999994824,,,,,13,57:43,1,,94.03724710000097,right,1,1.1779813000030117,None,,,,,,,,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,96.40128649999679,96.40128649999679,96.40128649999679,96.40128649999679,space,4.310171599994646,,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h48.25.032,Rewa's Exp,2023.1.2,60.02433386331587,
