Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5248.thisRepN,trials_5248.thisTrialN,trials_5248.thisN,trials_5248.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,key_skip_3.keys,key_skip_3.rt,total_score,Dot_ratio,current_score,response_3.rt,response_4.keys,response_4.corr,key_skip_4.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,13.764431000003242,space,1.6045007999928202,,,,,,,,,,,,,,,,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.40144169999985,space,0.8310311999957776,,,,,,,,,,,,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,,,,,,,,,,,,13.501586400001543,15.701434699993115,2.1998482999915723,None,0,space,2.1819439999962924,0,54:46,0,,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,0,1,1,1,,,,,,,,,,,,19.618468000000576,20.168149199991603,0.5496811999910278,None,0,space,0.5289868999971077,0,54:46,0,,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,0,2,2,3,,,,,,,,,,,,24.098433299994213,26.00106299998879,1.902629699994577,None,0,space,1.8816752999991877,0,54:46,0,,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,0,3,3,2,,,,,,,,,,,,29.910543699996197,31.117808900002274,1.207265200006077,None,0,space,1.1809921999956714,0,54:46,0,,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,1,0,4,1,,,,,,,,,,,,35.04140429999097,35.718473999993876,0.6770697000029031,None,0,space,0.6498504000046523,0,54:46,0,,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,1,1,5,3,,,,,,,,,,,,39.6871911999915,41.184591700002784,1.497400500011281,left,1,None,,1,54:46,1,1.4778159000125015,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,1,2,6,2,,,,,,,,,,,,45.09662879999087,46.58457859999908,1.4879498000082094,left,1,None,,2,54:46,1,1.4668049000028986,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,1,3,7,0,,,,,,,,,,,,50.50707749999128,53.00145669998892,2.4943791999976384,None,0,None,,0,54:46,-2,,,,,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,2,0,0,0,3,,,,,0,0,0,3,,,,,,,,56.75268189999042,58.71798429999035,1.9653023999999277,,,,,-2,52:48,-2,,None,0,None,,,,,,,,2 - with skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h36.03.025,Rewa's Exp,2023.1.2,59.81498030591183,
