Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,response.rt,Left_3.started,response_2.keys,response_2.corr,key_skip_2.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,27.874139099993045,space,3.904966100002639,,,,,,,,,,,,,,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.81053659999452,space,2.6485963000013726,,,,,,,,,,,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,31.51130159999593,32.983840100001544,1.4725385000056121,None,0,None,-2,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,36.92237440000463,38.000595699995756,1.078221299991128,right,0,None,-4,60:40,-2,1.050759299992933,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,41.95497819999582,43.46756400000595,1.5125858000101289,left,1,None,-3,60:40,1,1.4825802999985171,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,47.44166340000811,49.41728690000309,1.975623499994981,None,0,None,-5,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,53.332028600008925,54.81740670000727,1.4853780999983428,None,0,None,-7,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,1,1,5,0,,,,,,,,,,,,,,,,,,,,58.727470900004846,60.217463599998155,1.4899926999933086,None,0,None,-9,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,,,,,64.1294021000067,66.10060610000801,1.9712040000013076,None,0,None,-11,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,,,,70.04963000000862,72.0175550999993,1.9679250999906799,None,0,None,-13,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,1,,,,,,,,,,,,,,,,75.76283940000576,77.73415709999972,1.9713176999939606,,,,-15,57:43,-2,,81.36108279999462,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,1,1,0,,,,,,,,,,,,,,,,81.68612280000525,83.18402590000187,1.4979030999966199,,,,-17,57:43,-2,,87.28435839999293,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,87.08832660000189,88.5840892999986,1.4957626999967033,,,,-19,57:43,-2,,92.68649169999117,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,92.49884149999707,94.4673904000083,1.9685489000112284,,,,-21,57:43,-2,,98.09706059999007,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,,,,,1,0,4,3,,,,,,,,,,,,,,,,98.3733149000036,100.35079579999729,1.9774808999936795,,,,-23,57:43,-2,,103.97154509999382,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,,,,,1,1,5,0,,,,,,,,,,,,,,,,104.25971990000107,105.75090450000425,1.49118460000318,,,,-25,57:43,-2,,109.85784309999144,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
