Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,response.rt,key_skip.keys,total_score,Dot_ratio,current_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,text_10.started,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.508319500018843,space,0.8931654999614693,,,,,,,,,,,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,10.740345300000627,11.015198200009763,0.27485290000913665,right,1,0.24534299998776987,None,1,60:40,1,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,14.931958400004078,15.231831400014926,0.29987300001084805,left,1,0.2690039000008255,None,2,60:40,1,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,19.13448690000223,19.448752299998887,0.3142653999966569,right,0,0.28432120004436,None,0,60:40,-2,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,23.379558900021948,23.798727000015788,0.41916809999383986,left,0,0.38952400005655363,None,-2,60:40,-2,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,1,0,4,3,,,,,,,,,,,,,,,,27.70568650000496,27.965432600001805,0.25974609999684617,right,0,0.23209550004685298,None,-4,60:40,-2,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,31.850039699987974,32.28238910000073,0.4323494000127539,right,0,0.4094877999741584,None,-6,60:40,-2,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,1,2,6,0,,,,,,,,,,,,,,,,36.257686999975704,36.965591299987864,0.7079043000121601,left,0,0.6795682999654673,None,-8,60:40,-2,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,40.904298099980224,41.148569600016344,0.24427150003612041,left,0,0.22569769999245182,None,-10,60:40,-2,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,0,0,2,,,,,,,,,,,,44.89946809998946,45.48224590002792,0.5827778000384569,,,,,-12,57:43,-2,50.21869589999551,right,0,0.5662518000463024,None,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,0,,,,,,,,,,,,49.38656489999266,50.182255599997006,0.7956907000043429,,,,,-11,57:43,1,54.70603599998867,right,1,0.7757889999775216,None,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,54.16004579997389,54.632444599992596,0.47239880001870915,,,,,-10,57:43,1,59.47956120001618,right,1,0.4494630999979563,None,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,58.569089800002985,59.53201490000356,0.9629251000005752,,,,,-9,57:43,1,63.888619799981825,left,1,0.9457782999961637,None,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,1,0,4,2,,,,,,,,,,,,63.461738499987405,63.94886519998545,0.4871266999980435,,,,,-11,57:43,-2,68.78121350001311,right,0,0.4606375999865122,None,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,1,1,5,1,,,,,,,,,,,,67.87802060000831,68.16540589998476,0.28738529997644946,,,,,-13,57:43,-2,73.19758769997861,left,0,0.2607410000055097,None,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,1,2,6,0,,,,,,,,,,,,72.0735184000223,72.94892579998123,0.8754073999589309,,,,,-15,57:43,-2,77.39296420000028,left,0,0.8564352000248618,None,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,1,3,7,3,,,,,,,,,,,,76.92357189999893,78.81528919999255,1.8917172999936156,,,,,-17,57:43,-2,82.2430642999825,right,0,1.8623846999835223,None,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,85.27346070000203,85.27346070000203,85.27346070000203,85.27346070000203,space,6.304688800009899,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,1,0,1,0,0,0,0,2,,,,,0,0,0,0,0,0,0,2,,,,89.06583129998762,90.58195139997406,1.5161200999864377,right,0,1.49619790003635,None,-19,60:40,-2,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,0,1,1,0,,,,,0,0,0,0,0,0,0,2,,,,94.55175009998493,95.8820053000236,1.330255200038664,right,1,1.2979249999625608,None,-18,60:40,1,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,0,2,2,3,,,,,0,0,0,0,0,0,0,2,,,,99.83871819998603,100.21555079997052,0.37683259998448193,right,0,0.35542410000925884,None,-20,60:40,-2,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,0,3,3,1,,,,,0,0,0,0,0,0,0,2,,,,104.1254167999723,105.16544930002419,1.0400325000518933,right,1,1.020646100048907,None,-19,60:40,1,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,1,0,4,0,,,,,0,0,0,0,0,0,0,2,,,,109.0941505000228,109.61539440002525,0.521243900002446,right,1,0.4998794000130147,None,-18,60:40,1,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,1,1,5,1,,,,,0,0,0,0,0,0,0,2,,,,113.5347547000274,113.84900819999166,0.3142534999642521,right,1,0.29057479999028146,None,-17,60:40,1,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,1,2,6,3,,,,,0,0,0,0,0,0,0,2,,,,117.81744559999788,118.19875889999093,0.3813132999930531,right,0,0.3520452000084333,None,-19,60:40,-2,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,1,0,1,0,1,3,7,2,,,,,0,0,0,0,0,0,0,2,,,,122.09433079999872,122.76626180001767,0.671931000018958,right,0,0.6437118999892846,None,-21,60:40,-2,,,,,,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,126.71801770001184,126.99868989997776,0.2806721999659203,,,,,-20,57:43,1,132.03755870001623,right,1,0.26044680003542453,None,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,,,,,0,1,1,1,0,0,0,0,0,0,0,2,,,,130.92110570002114,131.19876360002672,0.277657900005579,,,,,-19,57:43,1,136.24059830000624,right,1,0.2575010000145994,None,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,,,,,0,2,2,3,0,0,0,0,0,0,0,2,,,,135.12206949997926,135.39900690002833,0.2769374000490643,,,,,-21,57:43,-2,140.44154979998711,right,0,0.24790670000948012,None,,,,,,,,fff,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h08.27.210,Rewa's Exp,2023.1.2,59.97674101728344,
