Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,key_skip.rt,response.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,26.80837340001017,space,1.3217191999865463,,,,,,,,,,,,,,,,fyc,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h06.38.792,Rewa's Exp,2023.1.2,59.999808000898646,
,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,fyc,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h06.38.792,Rewa's Exp,2023.1.2,59.999808000898646,
,,,,,,,,,,,,,,,,,,28.159412500011967,space,2.2826247999910265,,,,,,,,,,,,fyc,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h06.38.792,Rewa's Exp,2023.1.2,59.999808000898646,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,3,,,,,,,,27.77882559999125,29.732588099999703,1.9537625000084518,None,0,None,-2,60:40,-2,,,fyc,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h06.38.792,Rewa's Exp,2023.1.2,59.999808000898646,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,1,1,2,,,,,,,,33.65310630000022,36.1491260999901,2.496019799989881,None,0,None,-4,60:40,-2,,,fyc,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h06.38.792,Rewa's Exp,2023.1.2,59.999808000898646,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,2,2,0,,,,,,,,40.06559030000062,42.54915279999841,2.483562499997788,None,0,None,-6,60:40,-2,,,fyc,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h06.38.792,Rewa's Exp,2023.1.2,59.999808000898646,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,3,3,1,,,,,,,,46.470355999990716,47.18322989999433,0.7128739000036148,None,0,space,-6,60:40,0,0.6892951999907382,,fyc,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h06.38.792,Rewa's Exp,2023.1.2,59.999808000898646,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,1,0,4,2,,,,,,,,51.118443500003195,52.3824595999904,1.2640160999872023,None,0,space,-6,60:40,0,1.2320936999894911,,fyc,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h06.38.792,Rewa's Exp,2023.1.2,59.999808000898646,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,1,1,5,3,,,,,,,,56.28465879999567,58.24927939999907,1.9646206000033999,None,0,None,-8,60:40,-2,,,fyc,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h06.38.792,Rewa's Exp,2023.1.2,59.999808000898646,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,1,2,6,0,,,,,,,,62.175021299990476,62.982766899993294,0.8077456000028178,left,0,None,-10,60:40,-2,,0.7835512999881757,fyc,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-21_15h06.38.792,Rewa's Exp,2023.1.2,59.999808000898646,
