Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,response.rt,key_skip.keys,total_score,Dot_ratio,current_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,text_10.started,text_10.stopped,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,65.56079869999849,space,1.430629600001339,,,,,,,,,,,,,,,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0221862999988,space,5.057852500000081,,,,,,,,,,,,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,68.93598369999927,70.02489229999992,1.08890860000065,right,1,1.0589184000000387,None,1,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,73.92539459999898,75.57478439999977,1.6493898000007903,left,1,1.6291035000012926,None,2,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,79.53846259999955,80.80836499999896,1.2699023999994097,left,1,1.2491243000004033,None,3,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,84.74460030000046,85.87505269999929,1.1304523999988305,right,1,1.1062806000009004,None,4,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,89.7926736999998,91.15798209999957,1.3653083999997762,left,1,1.3382470000015019,None,5,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,95.08585669999957,96.7747662999991,1.6889095999995334,right,1,1.6600792999997793,None,6,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,,,,,100.69351590000042,102.22480410000026,1.5312881999998353,left,1,1.5083806000002369,None,7,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
