Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5248.thisRepN,trials_5248.thisTrialN,trials_5248.thisN,trials_5248.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Left_3.started,Videoshowstart,Videoshowstop,VideoshowRT,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,total_score,Dot_ratio,current_score,response_3.keys,response_3.corr,key_skip_3.keys,response_3.rt,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,Unnamed: 61,corr,key_skip,response_keys,response_RT
1.5,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,21.873484599986117,16.168969699996524,16.949093000032008,0.7801233000354841,left,0.0,0.749498900026083,None,-2.0,57:43,-2.0,,,,,,,,,,,test,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h06.13.363,Rewa's Exp,2023.1.2,59.98253310698103,,0.0,None,left,0.749498900026083
1.5,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,26.574714999995194,20.869994699954987,21.499902899959125,0.629908200004138,right,0.0,0.6007477999664843,None,-4.0,57:43,-2.0,,,,,,,,,,,test,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h06.13.363,Rewa's Exp,2023.1.2,59.98253310698103,,0.0,None,right,0.6007477999664843
1.0,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,31.14171510003507,25.43696139997337,26.03252270002849,0.5955613000551239,left,0.0,0.5693327999906614,None,-6.0,57:43,-2.0,,,,,,,,,,,test,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h06.13.363,Rewa's Exp,2023.1.2,59.98253310698103,,0.0,None,left,0.5693327999906614
1.0,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,35.66904770000838,29.96445390000008,30.43249489995651,0.468040999956429,right,0.0,0.4419778999872505,None,-8.0,57:43,-2.0,,,,,,,,,,,test,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h06.13.363,Rewa's Exp,2023.1.2,59.98253310698103,,0.0,None,right,0.4419778999872505
1.0,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,40.028088100021705,34.32328769995365,35.29892189998645,0.9756342000328004,None,0.0,,None,-10.0,57:43,-2.0,,,,,,,,,,,test,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h06.13.363,Rewa's Exp,2023.1.2,59.98253310698103,,-1.0,None,None,
1.5,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,44.91927229997236,39.21457319997717,40.249475999968126,1.0349027999909597,left,1.0,1.0083183000097051,None,-9.0,57:43,1.0,,,,,,,,,,,test,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h06.13.363,Rewa's Exp,2023.1.2,59.98253310698103,,1.0,None,left,1.0083183000097051
1.0,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,3.0,,,,,,,,,,,,,,,,49.94107790000271,44.23639980005101,45.19951149995904,0.9631116999080404,None,0.0,,None,-11.0,57:43,-2.0,,,,,,,,,,,test,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h06.13.363,Rewa's Exp,2023.1.2,59.98253310698103,,-1.0,None,None,
1.5,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,0.0,,,,,,,,,,,,,,,,54.81539650005288,49.11073920002673,50.59927150001749,1.4885322999907658,None,0.0,,None,-13.0,57:43,-2.0,,,,,,,,,,,test,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h06.13.363,Rewa's Exp,2023.1.2,59.98253310698103,,-1.0,None,None,
1.5,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,54.349628400057554,55.84951870003715,1.499890299979597,,,,,-15.0,54:46,-2.0,None,0.0,None,,,,,,,,test,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h06.13.363,Rewa's Exp,2023.1.2,59.98253310698103,,-1.0,None,None,
1.5,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,59.77391119999811,61.24917209998239,1.4752608999842778,,,,,-17.0,54:46,-2.0,None,0.0,None,,,,,,,,test,2 - with skip,"57:43, 54:46","1.5s, 1.0s",2023-07-31_13h06.13.363,Rewa's Exp,2023.1.2,59.98253310698103,,-1.0,None,None,
