Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,DotsshowRT,response.keys,response.corr,total_score,Left_3.started,response_2.keys,response_2.corr,response_3.keys,response_3.corr,text_2.started,text_5.started,text_2.stopped,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,2.75114439999993,None,0,-2,,,,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,1,1,1,,,,,,,,,2.751047500000027,None,0,-4,,,,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,2,2,5,,,,,,,,,2.817436999999927,None,0,-6,,,,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,3,3,2,,,,,,,,,2.3511384999999336,None,0,-8,,,,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,4,4,4,,,,,,,,,3.3011781000000155,None,0,-10,,,,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,5,5,3,,,,,,,,,2.3342972000000373,None,0,-12,,,,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,2,,,,,1.5011488999999756,,,-14,56.2972724,None,0,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,1,1,5,,,,,2.167746500000021,,,-16,61.608737700000006,None,0,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,2,2,4,,,,,2.86769060000006,,,-18,67.36886949999996,None,0,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,3,3,3,,,,,1.6505615000000944,,,-20,73.8836258,None,0,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,4,4,1,,,,,2.3843864000000394,,,-22,79.12734179999995,None,0,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,5,5,0,,,,,2.867652700000008,,,-24,85.13896039999997,None,0,,,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,4,2.700644099999977,,,-26,,,,None,0,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,1,1,1,2.1681277000000136,,,-28,,,,None,0,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,2,2,0,2.6679822999999487,,,-30,,,,None,0,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,3,3,5,2.3677741000000196,,,-32,,,,None,0,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,4,4,2,1.634338200000002,,,-34,,,,None,0,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,5,5,3,1.701322399999981,,,-36,,,,None,0,,,,,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,123.82002769999997,123.82002769999997,124.81997539999998,124.81997539999998,018519,001,2023-07-13_12h06.44.158,Rewa's Exp,2023.1.2,60.0208752603806,
