Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,DotsshowRT,response.keys,response.corr,total_score,Left_3.started,response_2.keys,response_2.corr,response_3.keys,response_3.corr,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,,,,,,,,,1.7344365000000153,None,0,-2,,,,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,1,1,1,,,,,,,,,2.784686700000009,None,0,-4,,,,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,2,2,2,,,,,,,,,2.282958899999983,None,0,-6,,,,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,3,3,4,,,,,,,,,3.268000900000004,None,0,-8,,,,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,4,4,0,,,,,,,,,3.334306799999979,None,0,-10,,,,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,5,5,5,,,,,,,,,2.7840699999999856,None,0,-12,,,,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,5,,,,,2.1841024999999945,,,-14,52.43832940000004,None,0,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,1,1,3,,,,,1.8677820999999994,,,-16,58.412515299999995,None,0,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,2,2,4,,,,,2.867707600000017,,,-18,63.89079600000002,None,0,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,3,3,2,,,,,1.6342591000000084,,,-20,70.39927310000002,None,0,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,4,4,0,,,,,2.701228599999979,,,-22,75.69214670000002,None,0,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,5,5,1,,,,,2.3172672000000034,,,-24,82.04213600000003,None,0,,,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,0,0,5,2.1681040999999937,,,-26,,,,None,0,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,1,1,1,2.184514400000012,,,-28,,,,None,0,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,2,2,2,1.8846780999999737,,,-30,,,,None,0,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,3,3,4,2.6685519000000113,,,-32,,,,None,0,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,4,4,3,1.8837480999999912,,,-34,,,,None,0,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,5,5,0,2.6679378000000042,,,-36,,,,None,0,,,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,120.3240376,121.3239284,215129,001,2023-07-13_12h01.52.724,Rewa's Exp,2023.1.2,59.87733529091143,
