Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_4.started,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,0,0,1,,,,,,,,,0.9845120999962091,right,1,0.7774933998007327,1,,,,,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,2,,,,,,,,,1.4349843000527471,right,1,0.5961398999206722,2,,,,,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,2,2,4,,,,,,,,,1.4011134000029415,right,0,0.6289083000738174,0,,,,,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,3,3,3,,,,,,,,,1.6849574001971632,left,1,0.8703860999085009,1,,,,,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,4,4,0,,,,,,,,,1.5349070997908711,right,1,0.8073648000136018,2,,,,,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,5,5,5,,,,,,,,,1.584312700200826,left,1,0.7770404000766575,3,,,,,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,3,,,,,1.0512419000733644,,,,4,46.10195260006003,left,1,0.9009130999911577,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,1,1,5,,,,,1.4176378999836743,,,,5,51.002634099917486,left,1,1.0570845999754965,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,1,,,,,1.5513142999261618,,,,6,56.024797999998555,right,1,1.2193595999851823,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,3,3,0,,,,,2.2846365000586957,,,,7,61.20818249997683,right,1,1.9483501000795513,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,4,4,2,,,,,1.5511017001699656,,,,8,67.11283549992368,right,1,1.210573999909684,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,5,5,4,,,,,1.400601200060919,,,,9,72.27610359992832,left,1,1.0802490999922156,,,,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,3,1.4177206999156624,,,,10,,,,,left,1,1.2720017998944968,,,299368,001,2023-07-12_16h08.18.430,Rewa's Exp,2023.1.2,59.95268534337922,
