Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,5,,,,,,,,,2.0345841001253575,left,1,1.7885546998586506,1,,,,,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,2,,,,,,,,,2.4174020001664758,None,0,,-1,,,,,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,2,2,1,,,,,,,,,2.784074399853125,None,0,,-3,,,,,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,3,3,3,,,,,,,,,2.3176766999531537,None,0,,-5,,,,,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,4,4,0,,,,,,,,,3.250669199973345,None,0,,-7,,,,,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,5,5,4,,,,,,,,,3.3345986001659185,None,0,,-9,,,,,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,3,,,,,1.7008896998595446,,,,-11,53.305055800126866,None,0,,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,1,1,2,,,,,1.6510222000069916,,,,-13,58.82936010020785,None,0,,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,2,2,4,,,,,1.5010691999923438,,,,-12,64.12316100019962,left,1,1.135968199931085,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,5,,,,,2.1342927999794483,,,,-14,69.24119570013136,None,0,,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,4,4,0,,,,,2.8838478000834584,,,,-16,74.98082400020212,None,0,,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,5,5,1,,,,,1.1345755001530051,,,,-15,81.49166640010662,right,1,0.7916921998839825,,,,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,0,0,5,0.6011057000141591,,,,-14,,,,,left,1,0.4622289000544697,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,1,1,2,0.851287400117144,,,,-13,,,,,right,1,0.4982270998880267,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,2,2,1,0.767944100080058,,,,-15,,,,,left,0,0.42880099988542497,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,3,3,4,1.0676313999574631,,,,-14,,,,,left,1,0.7596342999022454,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,4,4,0,1.1176748999860138,,,,-16,,,,,left,0,0.7658016998320818,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,5,5,3,0.884479699889198,,,,-18,,,,,right,0,0.5526487997267395,,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,110.48732910002582,396198,001,2023-07-12_16h06.11.480,Rewa's Exp,2023.1.2,60.00913336184005,
