Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,response.started,DotsshowRT,response.keys,response.rt,Left_3.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,,,,,14.268558599986136,1.7185661001130939,None,,,,,500556,001,2023-07-11_15h57.44.216,Rewa's Exp,2023.1.2,59.98670695625257,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,1,1,5,,,,,20.232837399933487,1.635033399797976,left,0.8269199000205845,,,,500556,001,2023-07-11_15h57.44.216,Rewa's Exp,2023.1.2,59.98670695625257,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,2,2,1,,,,,25.508432999951765,2.2019442999735475,left,1.3659353000111878,,,,500556,001,2023-07-11_15h57.44.216,Rewa's Exp,2023.1.2,59.98670695625257,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,3,3,2,,,,,31.251798499841243,1.1845690000336617,left,0.4548303000628948,,,,500556,001,2023-07-11_15h57.44.216,Rewa's Exp,2023.1.2,59.98670695625257,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,4,4,4,,,,,36.12263229978271,2.101077500032261,left,1.3768496999982744,,,,500556,001,2023-07-11_15h57.44.216,Rewa's Exp,2023.1.2,59.98670695625257,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,5,5,0,,,,,42.01484399987385,2.1346577999647707,left,1.2590491001028568,,,,500556,001,2023-07-11_15h57.44.216,Rewa's Exp,2023.1.2,59.98670695625257,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,0,0,4,,,,,47.05264029977843,left,0.7735289998818189,500556,001,2023-07-11_15h57.44.216,Rewa's Exp,2023.1.2,59.98670695625257,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,1,1,3,,,,,51.75126609997824,left,0.7399252001196146,500556,001,2023-07-11_15h57.44.216,Rewa's Exp,2023.1.2,59.98670695625257,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,2,2,2,,,,,56.456725399941206,right,0.4976013000123203,500556,001,2023-07-11_15h57.44.216,Rewa's Exp,2023.1.2,59.98670695625257,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,5,,,,,60.914434699807316,right,0.9841692999470979,500556,001,2023-07-11_15h57.44.216,Rewa's Exp,2023.1.2,59.98670695625257,
,,,,,,,,,,,,,,,,,,,,,65.81808939995244,right,0.6254233999643475,,,,,,,
