Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,DotsshowRT,response.keys,response.corr,total_score,Left_3.started,response_2.keys,response_2.corr,response_3.keys,response_3.corr,text_2.started,text_2.stopped,text_4.started,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,4,,,,,,,,,2.684473500121385,None,0,-2,,,,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,1,1,5,,,,,,,,,2.767683600075543,None,0,-4,,,,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,2,2,1,,,,,,,,,2.8338740000035614,None,0,-6,,,,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,3,3,3,,,,,,,,,2.300829700194299,None,0,-8,,,,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,4,4,0,,,,,,,,,3.284055999945849,None,0,-10,,,,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,5,5,2,,,,,,,,,2.317887800047174,None,0,-12,,,,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,3,,,,,1.5010232999920845,,,-14,54.148797400062904,None,0,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,4,,,,,2.8844564999453723,,,-16,59.44359389995225,None,0,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,2,2,0,,,,,2.68448320007883,,,-18,65.9534642000217,None,0,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,5,,,,,2.16734080016613,,,-20,72.25902900006622,None,0,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,4,4,2,,,,,1.6678042998537421,,,-22,78.07173780002631,None,0,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,5,5,1,,,,,2.334267199970782,,,-24,83.30865290015936,None,0,,,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,0,0,5,2.0507122999988496,,,-26,,,,None,0,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,1,1,0,2.651085600024089,,,-28,,,,None,0,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,2,2,2,1.7003256999887526,,,-30,,,,None,0,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,3,3,1,2.3505720999091864,,,-32,,,,None,0,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,4,4,4,2.8511055998969823,,,-34,,,,None,0,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,5,5,3,1.8675724000204355,,,-36,,,,None,0,,,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,121.66770089999773,122.70188580011018,,740410,001,2023-07-12_16h43.38.812,Rewa's Exp,2023.1.2,59.94064680804659,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.70188580011018,,,,,,,
