Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_2.stopped,text_4.started,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,0,0,1,,,,,,,,,1.0177597000729293,right,1,0.8157885998953134,1,,,,,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,1,1,5,,,,,,,,,1.3346769998315722,left,1,0.5592618999071419,2,,,,,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,2,2,0,,,,,,,,,2.484805299900472,right,1,1.6346505999099463,3,,,,,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,3,3,4,,,,,,,,,2.15166710014455,left,1,1.387517899973318,4,,,,,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,4,4,3,,,,,,,,,1.9344683000817895,left,1,1.1965486998669803,5,,,,,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,5,5,2,,,,,,,,,1.2011035000905395,right,1,0.5081678000278771,6,,,,,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,0,0,4,,,,,1.3173683998174965,,,,7,48.86952740000561,left,1,1.1660903999581933,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,1,1,5,,,,,2.0011263999622315,,,,8,54.00860480009578,left,1,1.6671400000341237,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,1,,,,,2.350640899967402,,,,6,59.602105299942195,None,0,,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,3,3,2,,,,,1.8509535000193864,,,,4,65.56191870011389,None,0,,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,4,4,0,,,,,2.533904500072822,,,,2,71.05263669998385,left,0,2.198381300084293,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,5,5,3,,,,,1.5177618998568505,,,,3,77.2417856999673,left,1,1.1869240999221802,,,,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,3,1.3346400000154972,,,,4,,,,,left,1,1.1955198999494314,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,1,1,0,1.7846295998897403,,,,5,,,,,right,1,1.4653747000265867,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,2,2,2,1.6674077999778092,,,,6,,,,,right,1,1.3558833999559283,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,3,3,5,2.0013643000274897,,,,7,,,,,left,1,1.6884459001012146,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,4,4,1,1.5843919001054019,,,,8,,,,,right,1,1.2746410998515785,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,5,5,4,1.9342080000787973,,,,9,,,,,left,1,1.6225226998794824,,,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,111.62488580006175,112.66896959999576,,786227,001,2023-07-12_16h41.06.901,Rewa's Exp,2023.1.2,59.9786835671601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.66896959999576,,,,,,,
