Countdown	color1	color2	correct	screenshot	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_6040.thisRepN	trials_6040.thisTrialN	trials_6040.thisN	trials_6040.thisIndex	trials_5743.thisRepN	trials_5743.thisTrialN	trials_5743.thisN	trials_5743.thisIndex	trials_5446.thisRepN	trials_5446.thisTrialN	trials_5446.thisN	trials_5446.thisIndex	DotsshowRT	response.keys	response.corr	response.rt	total_score	Left_3.started	response_2.keys	response_3.keys	participant	session	date	expName	psychopyVersion	frameRate
Countdown_2.5s.mp4	green	red	left	Countdown_2.5s.jpg	0	0	0	0	0	0	0	4									1.1176502	right	0	0.924751	-2				938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
Countdown_1.5s.mp4	red	green	right	Countdown_1.5s.jpg	0	0	0	0	0	1	1	2									1.7357612	left	0	0.9773948	-4				938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
Countdown_1.5s.mp4	green	red	left	Countdown_1.5s.jpg	0	0	0	0	0	2	2	3									2.2844621	None	0		-6				938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
Countdown_2s.mp4	red	green	right	Countdown_2s.jpg	0	0	0	0	0	3	3	1									2.7672978	None	0		-8				938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
Countdown_2s.mp4	green	red	left	Countdown_2s.jpg	0	0	0	0	0	4	4	5									2.7670322	None	0		-10				938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
Countdown_2.5s.mp4	red	green	right	Countdown_2.5s.jpg	0	0	0	0	0	5	5	0									3.3500934	None	0		-12				938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
Countdown_1.5s.mp4	red	green	right	Countdown_1.5s.jpg	0	0	0	0					0	0	0	2					1.7011811				-14	106.2268633	None		938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
Countdown_2.5s.mp4	red	green	right	Countdown_2.5s.jpg	0	0	0	0					0	1	1	0					2.6344528				-16	111.730175	None		938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
Countdown_2s.mp4	green	red	left	Countdown_2s.jpg	0	0	0	0					0	2	2	5					2.351496				-18	117.9826735	None		938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
Countdown_2s.mp4	red	green	right	Countdown_2s.jpg	0	0	0	0					0	3	3	1					2.3675923				-20	123.9650715	None		938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
Countdown_2.5s.mp4	green	red	left	Countdown_2.5s.jpg	0	0	0	0					0	4	4	4					2.8676548				-22	129.9308823	None		938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
Countdown_1.5s.mp4	green	red	left	Countdown_1.5s.jpg	0	0	0	0					0	5	5	3					1.8673535				-24	136.4148382	None		938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
					0	0	0	0									0	0	0	0	1.4514196				-26			None	938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
					0	0	0	0									1	0	1	0	1.8679363				-28			None	938690	1	2023-07-12_13h39.03.141	Rewa's Exp	2023.1.2	59.99905199
																					1.651233							None						
