Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_5.started,text_6.started,key_resp.keys,key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,26.11092439998174,space,3.393144499976188,,,,,,,,,,,,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,5,,,,,,,,,,,,26.722658500017133,28.351657700026408,1.6289992000092752,left,1,1.5973145000170916,1,,,,,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,2,,,,,,,,,,,,32.329359200026374,33.08495360001689,0.7555943999905139,right,1,0.7250630999915302,2,,,,,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,,,,37.05232999997679,37.78595380001934,0.733623800042551,left,1,0.7152132999617606,3,,,,,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,3,3,1,,,,,,,,,,,,41.739456899988,42.35163879999891,0.6121819000109099,right,1,0.579789699986577,4,,,,,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,4,4,0,,,,,,,,,,,,46.3134560000035,47.53482020000229,1.2213641999987885,left,0,1.1974065999966115,2,,,,,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,5,5,4,,,,,,,,,,,,51.43664400000125,52.46881639998173,1.0321723999804817,left,1,1.010411399998702,3,,,,,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,5,,,,,,,,56.23127270000987,57.00158199999714,0.7703092999872752,,,,4,61.73689319996629,left,1,0.7448703999980353,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,1,1,2,,,,,,,,60.96846810000716,61.76842899998883,0.7999608999816701,,,,5,66.47408489999361,right,1,0.7750337999896146,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,2,2,3,,,,,,,,65.69244150002487,66.3848171000136,0.6923755999887362,,,,6,71.19805269996868,left,1,0.6593838999979198,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,1,,,,,,,,70.33742300001904,71.2850569000002,0.947633899981156,,,,4,75.843033299956,left,0,0.9171614000224508,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,4,4,0,,,,,,,,75.2238530999748,76.21860800002469,0.9947549000498839,,,,5,80.72947869997006,right,1,0.9667769999941811,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,5,5,4,,,,,,,,80.18989799998235,81.16851809999207,0.9786201000097208,,,,6,85.69556530000409,left,1,0.9616253999993205,,,,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,4,,,,84.89866290002828,85.70176919997903,0.8031062999507412,,,,7,,,,,left,1,0.7718789000064135,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,1,1,2,,,,89.62234060000628,90.26844339998206,0.6461027999757789,,,,8,,,,,right,1,0.6162362999748439,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,2,2,3,,,,94.1864505999838,94.86846059997333,0.6820099999895319,,,,9,,,,,left,1,0.6616644999594428,,,,,,Annie,2023-07-18_14h19.28.106,Rewa's Exp,2023.1.2,60.06413647683742,
