Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,total_score,response.rt,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_5.started,text_6.started,key_resp.keys,key_resp.rt,end_2.started,end_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,32.29387920000045,space,7.877689499999178,,,,,,,,,,,,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,,,,,,,,,,,,29.285866299999725,30.74821840000004,1.4623521000003166,None,0,-2,,,,,,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,1,1,4,,,,,,,,,,,,34.73153999999977,35.74825179999971,1.016711799999939,right,0,-4,0.9838042000001224,,,,,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,2,2,5,,,,,,,,,,,,39.69723689999955,40.515163799999755,0.8179269000002023,left,1,-3,0.7941851999985374,,,,,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,3,3,2,,,,,,,,,,,,44.416058599999815,45.44873149999967,1.0326728999998522,left,0,-5,1.001902799999698,,,,,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,4,4,1,,,,,,,,,,,,49.38106400000015,50.36499949999961,0.9839354999994612,right,1,-4,0.9564516999998887,,,,,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,5,5,0,,,,,,,,,,,,54.26246269999956,55.99835929999972,1.73589660000016,right,1,-3,1.7152441999996881,,,,,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,0,0,4,,,,,,,,59.7322193,61.09831750000012,1.366098200000124,,,-5,,73.30103220000001,right,0,1.3334122999985993,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,1,1,5,,,,,,,,65.03330149999965,66.43164290000004,1.3983414000003904,,,-4,,78.6021266000007,left,1,1.3778106999989177,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,1,,,,,,,,70.3523968999998,71.38193619999947,1.0295392999996693,,,-3,,83.9212105000006,right,1,1.0107751999994434,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,3,3,2,,,,,,,,75.31369649999942,76.13212750000002,0.8184310000006008,,,-2,,88.8824912,right,1,0.7932172999990144,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,4,4,3,,,,,,,,80.0353998999999,81.01506040000004,0.9796605000001364,,,-1,,93.60415420000027,left,1,0.9585232999988875,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,5,5,0,,,,,,,,84.92482029999974,85.78160729999945,0.8567869999997129,,,0,,98.49352840000029,right,1,0.8373964999991586,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,4,,,,89.51411110000026,90.4983758999997,0.984264799999437,,,1,,,,,,left,1,0.9608317999991414,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,1,1,0,,,,94.4326629999996,95.43177999999989,0.9991170000002967,,,2,,,,,,right,1,0.9785667999994985,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,2,2,3,,,,99.35654189999968,100.34879809999984,0.9922562000001562,,,3,,,,,,left,1,0.9743811999996979,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,3,3,2,,,,104.3207868999998,105.21509909999986,0.8943122000000585,,,4,,,,,,right,1,0.8655522999997629,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,4,4,5,,,,109.12246719999985,110.21510130000024,1.0926341000003958,,,2,,,,,,right,0,1.0633942999984356,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,5,5,1,,,,114.12361609999971,115.24812849999944,1.1245123999997304,,,3,,,,,,right,1,1.0942878999994718,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.9615160000003,129.9615160000003,129.9615160000003,space,6.026557899999716,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,0,0,0,1,,,,,,,,,,,,125.24028420000013,126.58167450000019,1.3413903000000573,right,1,4,1.3143109999991793,,,,,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,1,0,1,0,0,1,1,3,,,,,,,,,,,,130.48499979999997,131.38177489999998,0.8967751000000135,left,1,5,0.8772310999984256,,,,,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,0,2,2,0,,,,,,,,,,,,135.28439350000008,136.33165329999974,1.0472597999996651,right,1,6,1.0221041999993759,,,,,,,,,,,,,,,Rachel,2023-07-20_15h51.34.302,Rewa's Exp,2023.1.2,59.9972521256645,
