Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_5.started,text_6.started,key_resp.keys,key_resp.rt,end_2.started,end_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,34.43788699999999,space,30.594953200000077,,,,,,,,,,,,,,,,,,,,,,Tokka,2023-07-20_13h53.25.030,Rewa's Exp,2023.1.2,59.986419074716224,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,,,,,,,,,,,,61.48464480000001,62.55122449999999,1.066579699999977,left,1,1.0406306000000427,1,,,,,,,,,,,,,,,Tokka,2023-07-20_13h53.25.030,Rewa's Exp,2023.1.2,59.986419074716224,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,1,1,5,,,,,,,,,,,,66.54053379999999,67.45196190000001,0.9114281000000233,left,1,0.8897229000000948,2,,,,,,,,,,,,,,,Tokka,2023-07-20_13h53.25.030,Rewa's Exp,2023.1.2,59.986419074716224,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,2,2,0,,,,,,,,,,,,71.4658354,72.35148220000002,0.8856468000000177,left,0,0.8606757000000584,0,,,,,,,,,,,,,,,Tokka,2023-07-20_13h53.25.030,Rewa's Exp,2023.1.2,59.986419074716224,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,3,3,4,,,,,,,,,,,,76.2827466,77.36792550000001,1.0851789000000167,left,1,1.059487200000035,1,,,,,,,,,,,,,,,Tokka,2023-07-20_13h53.25.030,Rewa's Exp,2023.1.2,59.986419074716224,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,4,4,2,,,,,,,,,,,,81.33873500000004,82.15128120000003,0.8125461999999857,right,1,0.7866337000000385,2,,,,,,,,,,,,,,,Tokka,2023-07-20_13h53.25.030,Rewa's Exp,2023.1.2,59.986419074716224,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,5,5,1,,,,,,,,,,,,86.07938130000002,87.43460429999999,1.3552229999999668,right,1,1.3256722000000423,3,,,,,,,,,,,,,,,Tokka,2023-07-20_13h53.25.030,Rewa's Exp,2023.1.2,59.986419074716224,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,2,,,,,,,,91.20420360000003,92.3011932,1.0969895999999721,,,,1,97.51149449999997,left,0,1.064971900000046,,,,,,,,,,,Tokka,2023-07-20_13h53.25.030,Rewa's Exp,2023.1.2,59.986419074716224,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,0,,,,,,,,96.20907729999999,97.2016592,0.9925819000000047,,,,-1,102.51641739999997,left,0,0.9650349000000347,,,,,,,,,,,Tokka,2023-07-20_13h53.25.030,Rewa's Exp,2023.1.2,59.986419074716224,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,5,,,,,,,,101.17479270000001,102.15136000000001,0.9765672999999992,,,,-3,107.4821392,right,0,0.9440932000000544,,,,,,,,,,,Tokka,2023-07-20_13h53.25.030,Rewa's Exp,2023.1.2,59.986419074716224,
