Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,total_score,response.rt,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_5.started,text_2.stopped,text_5.stopped,participant,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,0,0,1,,,,,,,,,9.6607803000079,11.61322640000435,1.9524460999964504,None,0,-2,,,,,,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,2,,,,,,,,,15.515905699998257,17.013344400009373,1.4974387000111165,None,0,-4,,,,,,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,2,2,4,,,,,,,,,20.91475860000355,23.413465300007374,2.4987067000038223,None,0,-6,,,,,,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,3,3,3,,,,,,,,,27.315093400000478,28.29686080000829,0.9817674000078114,left,1,-5,0.9571942999900784,,,,,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,4,4,0,,,,,,,,,32.20316640000965,33.1635629000084,0.9603964999987511,right,1,-4,0.9337919999961741,,,,,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,5,5,5,,,,,,,,,37.09606870000425,38.24734190000163,1.1512731999973767,left,1,-3,1.1208539999934146,,,,,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,3,,,,,37.09606870000425,42.896847000010894,5.800778300006641,,,-2,,47.399713499995414,left,1,0.854086899998947,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,0,,,,,37.09606870000425,48.079797500002314,10.983728799998062,,,-1,,52.20147659999202,right,1,1.2366932000004454,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,1,,,,,37.09606870000425,53.13005260001228,16.033983900008025,,,0,,57.41319069999736,right,1,1.081893199996557,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,3,3,4,,,,,37.09606870000425,59.56350280001061,22.467434100006358,,,-2,,62.46685649998835,None,0,,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,4,4,2,,,,,37.09606870000425,64.98014410000178,27.884075399997528,,,-4,,68.87429529998917,None,0,,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,5,5,5,,,,,37.09606870000425,70.86337669999921,33.767307999994955,,,-6,,74.29156139999395,None,0,,,,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,2,37.09606870000425,76.09674059999816,39.000671899993904,,,-8,,,,,,None,0,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,1,1,0,37.09606870000425,82.51360200000636,45.417533300002106,,,-10,,,,,,None,0,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,2,2,3,37.09606870000425,87.91384050001216,50.817771800007904,,,-12,,,,,,None,0,,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,3,3,4,37.09606870000425,93.54700000000594,56.450931300001685,,,-11,,,,,,left,1,1.694959899992682,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,4,4,5,37.09606870000425,98.68021230000886,61.58414360000461,,,-10,,,,,,left,1,1.1825346999976318,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,5,5,1,37.09606870000425,103.88026230000833,66.78419360000407,,,-9,,,,,,right,1,1.2574477999878582,,,,,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110.39702169998782,110.39702169998782,111.39712569999392,111.39712569999392,,2023-07-14_14h58.57.977,Rewa's Exp,2023.1.2,60.036225858453655,
