Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_5.started,text_6.started,key_resp.keys,key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,12.434938099991996,space,1.0366696999990381,,,,,,,,,,,,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,10.794119100028183,11.385671299998648,0.5915521999704652,right,1,0.5635361999738961,1,,,,,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,2,,,,,,,,,,,,15.31109730002936,15.48565950000193,0.17456219997256994,right,1,0.15134890004992485,2,,,,,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,,,,19.39574500004528,19.586452800023835,0.19070779997855425,right,0,0.17086060001747683,0,,,,,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,3,3,5,,,,,,,,,,,,23.5198394000181,23.702295600029174,0.18245620001107454,right,0,0.15766440000152215,-2,,,,,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,4,4,4,,,,,,,,,,,,27.611049700004514,27.669094800017774,0.0580451000132598,left,1,0.03564870002446696,-1,,,,,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,5,5,0,,,,,,,,,,,,31.564020099991467,31.60413839999819,0.040118300006724894,left,0,0.018169899994973093,-3,,,,,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,2,,,,,,,,35.34944880002877,35.46922860003542,0.11977980000665411,,,,-5,40.68709750002017,left,0,0.09631279995664954,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,4,,,,,,,,39.39323180000065,39.43120500002988,0.03797320002922788,,,,-4,44.730929300014395,left,1,0.01352400000905618,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,5,,,,,,,,43.370359599997755,43.43584250001004,0.06548290001228452,,,,-3,48.70806219999213,left,1,0.043850200017914176,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,3,3,3,,,,,,,,47.36359280004399,47.436372000025585,0.07277919998159632,,,,-2,52.701287399977446,left,1,0.04182699997909367,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,4,4,1,,,,,,,,51.37198650004575,51.502395800023805,0.13040929997805506,,,,-1,56.709665499976836,right,1,0.10671500000171363,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,5,5,0,,,,,,,,55.45188800001051,55.66940810001688,0.217520100006368,,,,0,60.78952410002239,right,1,0.19505400001071393,,,,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,2,,,,59.398792600026354,59.50255850004032,0.10376590001396835,,,,1,,,,,right,1,0.07184019999112934,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,1,1,3,,,,63.452365900040604,63.478062300011516,0.025696399970911443,,,,-1,,,,,right,0,0.010059199994429946,,,,,,dd,2023-07-16_16h30.29.051,Rewa's Exp,2023.1.2,60.0230728632191,
