Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_5.started,text_6.started,text_6.stopped,key_resp.keys,key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,61.93989460001467,space,0.44906559999799356,,,,,,,,,,,,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,,,,,,,,59.65183019998949,60.34140609996393,0.689575899974443,right,1,0.6591609000461176,1,,,,,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,1,1,0,,,,,,,,,,,,64.24786319996929,65.10857339994982,0.8607101999805309,right,1,0.8307179000112228,2,,,,,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,,,,69.01001039997209,70.00792029994773,0.9979098999756388,left,1,0.9650782000389881,3,,,,,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,3,3,5,,,,,,,,,,,,73.9426977999974,74.59108829998877,0.6483904999913648,right,0,0.6238950000260957,1,,,,,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,4,4,1,,,,,,,,,,,,78.50980559998425,79.15798779996112,0.6481821999768727,right,1,0.6168788999784738,2,,,,,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,5,5,4,,,,,,,,,,,,83.08791359997122,83.74128849996487,0.6533748999936506,left,1,0.6230421999935061,3,,,,,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,0,0,0,,,,,,,,87.48637769999914,88.1586462999694,0.6722685999702662,,,,4,92.88402410002891,right,1,0.6483101000194438,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,1,1,1,,,,,,,,92.0968673999887,92.69144959998084,0.5945821999921463,,,,5,97.49449509999249,right,1,0.5750800999812782,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,2,2,3,,,,,,,,96.64539889997104,98.14181469997857,1.4964158000075258,,,,3,102.04299470002297,None,0,,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,3,3,4,,,,,,,,102.04745279997587,102.72452989994781,0.6770770999719389,,,,1,107.44507479999447,right,0,0.647105099982582,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,4,4,2,,,,,,,,106.65416529995855,107.4082457999466,0.7540804999880493,,,,-1,112.05179300002055,left,0,0.7370834000175819,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,5,5,5,,,,,,,,111.37751339998795,112.07461729994975,0.6971038999618031,,,,0,116.77514979999978,left,1,0.6783938999869861,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,0,0,1,,,,115.80339379998622,116.44136259995867,0.637968799972441,,,,1,,,,,right,1,0.6199891999713145,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,1,1,5,,,,120.36658709996846,121.25810189999174,0.8915148000232875,,,,2,,,,,left,1,0.8720271000056528,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,2,2,0,,,,125.21940159995575,125.95792249997612,0.7385209000203758,,,,3,,,,,right,1,0.7152717999997549,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,3,3,4,,,,129.870867599966,130.72461229999317,0.8537447000271641,,,,4,,,,,left,1,0.8325524000101723,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,4,4,2,,,,134.6357652999577,135.40803890000097,0.7722736000432633,,,,5,,,,,right,1,0.7474727999651805,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,5,5,3,,,,139.3544896999956,140.07488869997906,0.7203989999834448,,,,6,,,,,left,1,0.701458299998194,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.62050270003965,146.62050270003965,146.62050270003965,147.63298960000975,space,2.337139700015541,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,0,0,0,5,,,,,,,,,,,,146.39990349998698,147.02498769998783,0.6250842000008561,right,0,0.6001455999794416,4,,,,,,,,,,,,,,fouad,2023-07-16_15h05.07.441,Rewa's Exp,2023.1.2,60.019290207014336,
