Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_5.started,text_6.started,key_resp.keys,key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,66.64942849997897,space,12.335668099985924,,,,,,,,,,,,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,76.10436240001582,77.73275439999998,1.62839199998416,right,1,1.6102686999947764,1,,,,,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,81.65557579998858,83.13182670000242,1.476250900013838,left,0,1.4430029999930412,-1,,,,,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,2,2,4,,,,,,,,,,,,87.11098549998133,87.9649664000026,0.8539809000212699,left,1,0.8272141999914311,0,,,,,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,3,3,5,,,,,,,,,,,,91.86752710002474,92.74858549999772,0.8810583999729715,left,1,0.8641932999598794,1,,,,,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,4,4,3,,,,,,,,,,,,96.70126230001915,97.46517109998967,0.7639087999705225,left,1,0.741965799999889,2,,,,,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,5,5,2,,,,,,,,,,,,101.3864555999753,102.16513400000986,0.7786784000345506,right,1,0.7612261999747716,3,,,,,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,5,,,,,,,,105.89403640001547,106.74846049997723,0.8544240999617614,,,,4,111.48431630001869,left,1,0.821411499986425,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,1,1,1,,,,,,,,110.67052360001253,111.64838410000084,0.97786049998831,,,,2,116.26080330001423,left,0,0.957282799994573,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,2,2,3,,,,,,,,115.55086640000809,116.54850480001187,0.9976384000037797,,,,3,121.14115219999803,left,1,0.9725705999881029,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,3,3,2,,,,,,,,120.47669460001634,121.43193179997616,0.9552371999598108,,,,4,126.06698200001847,right,1,0.9262411000090651,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,4,4,0,,,,,,,,125.40570629999274,126.28177810000489,0.8760718000121415,,,,5,130.99599379999563,right,1,0.8445267000352032,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,5,5,4,,,,,,,,130.21312540001236,130.91511170001468,0.7019863000023179,,,,6,135.8034093999886,left,1,0.6773451000335626,,,,,,,,,negar,2023-07-18_12h41.56.484,Rewa's Exp,2023.1.2,59.96857646402143,
